timestamp,chamber_degC,hotend_degC,mcu_degC,driver_degC,probe_value,threshold
2026-08-29 18:09:51,25.1,22.53,31.72,0,0,500
2026-08-29 18:10:53,32.7,24.43,31.89,0,0,500
2026-08-29 18:11:55,37.7,26.39,31.90,0,0,500
2026-08-29 18:12:57,41.1,28.30,31.92,0,0,500
2026-08-29 18:13:59,43.7,30.08,31.95,0,0,500
2026-08-29 18:15:00,45.6,31.89,32.01,0,0,500
2026-08-29 18:16:02,47.2,33.57,31.96,0,0,500
2026-08-29 18:17:04,48.5,35.19,32.07,0,0,500
2026-08-29 18:18:06,49.9,36.72,32.18,0,0,500
