12:42:02.723 >> td
12:42:02.773 trigger debug on
12:42:03.076 >> v
12:42:03.231 a=2239439,b=2239439
12:42:03.231 a=2240259,b=2239462
12:42:03.231 a=2243097,b=2240259
12:42:03.231 a=2242482,b=2242482
12:42:03.231 a=2241265,b=2242482
12:42:03.231 a=2235120,b=2241265
12:42:03.231 a=2235943,b=2235943
12:42:03.231 a=2239023,b=2235943
12:42:03.231 a=2238289,b=2238289
12:42:03.231 a=2235454,b=2238289
12:42:03.231 a=2235126,b=2235454
12:42:03.231 a=2238444,b=2235454
12:42:03.231 a=2239335,b=2238444
12:42:03.231 a=2239238,b=2239238
12:42:03.231 a=2237690,b=2239238
12:42:03.231 a=2236822,b=2237690
12:42:03.231 a=2240507,b=2237690
12:42:03.231 a=2241061,b=2240507
12:42:03.231 a=2239999,b=2240507
12:42:03.231 a=2239309,b=2239999
12:42:03.231 a=2234792,b=2239309
12:42:03.231 a=2235860,b=2235860
12:42:03.231 a=2239055,b=2235860
12:42:03.231 a=2240140,b=2239055
12:42:03.232 a=2241326,b=2240140
12:42:03.232 a=2243327,b=2241326
12:42:03.232 a=2238987,b=2241326
12:42:03.232 a=2238757,b=2238987
12:42:03.232 a=2241013,b=2238987
12:42:03.232 a=2238499,b=2238757
12:42:03.232 a=2237647,b=2238499
12:42:03.232 a=2238562,b=2238499
12:42:03.232 a=2237384,b=2237647
12:42:03.232 a=2238670,b=2238562
12:42:03.232 a=2236377,b=2237384
12:42:03.232 a=2240042,b=2238670
12:42:03.232 a=2242234,b=2240042
12:42:03.232 a=2240762,b=2240762
12:42:03.232 a=2238672,b=2240762
12:42:03.232 a=2239236,b=2239236
12:42:03.232 a=2237732,b=2238672
12:42:03.232 a=2233614,b=2237732
12:42:03.232 a=2233602,b=2233614
12:42:03.282 a=2239523,b=2233614
12:42:03.282 a=2240101,b=2239523
12:42:03.282 a=2238517,b=2239523
12:42:03.282 a=2237718,b=2238517
12:42:03.282 a=2236946,b=2237718
12:42:03.282 a=2236243,b=2236946
12:42:03.282 a=2234032,b=2236243
12:42:03.282 a=2237982,b=2236243
12:42:03.282 a=2238445,b=2237982
12:42:03.282 a=2241420,b=2238445
12:42:03.282 a=2238628,b=2238628
12:42:03.282 a=2233590,b=2238628
12:42:03.282 a=2236764,b=2236764
12:42:03.282 a=2241887,b=2236764
12:42:03.283 a=2240198,b=2240198
12:42:03.283 a=2237719,b=2240198
12:42:03.283 a=2238511,b=2238511
12:42:03.283 a=2237566,b=2237719
12:42:03.283 a=2238049,b=2238049
12:42:03.283 a=2238251,b=2238049
12:42:03.283 a=2238678,b=2238251
12:42:03.283 a=2238687,b=2238678
12:42:03.283 a=2234448,b=2238678
12:42:03.283 a=2238570,b=2238570
12:42:03.283 a=2242023,b=2238570
12:42:03.283 a=2240347,b=2240347
12:42:03.283 a=2237555,b=2240347
12:42:03.283 a=2236349,b=2237555
12:42:03.283 a=2234417,b=2236349
12:42:03.283 a=2232881,b=2234417
12:42:03.283 a=2235606,b=2234417
12:42:03.283 a=2239216,b=2235606
12:42:03.283 a=2240974,b=2239216
12:42:03.283 a=2244681,b=2240974
12:42:03.283 a=2243459,b=2243459
12:42:03.283 a=2240974,b=2243459
12:42:03.283 a=2237787,b=2240974
12:42:03.283 a=2237506,b=2237787
12:42:03.283 a=2242190,b=2237787
12:42:03.283 a=2242914,b=2242190
12:42:03.283 a=2240025,b=2242190
12:42:03.283 a=2242912,b=2242912
12:42:03.283 a=2241952,b=2241952
12:42:03.283 a=2234089,b=2241952
12:42:03.283 a=2235713,b=2235713
12:42:03.283 a=2236324,b=2235713
12:42:03.283 a=2236595,b=2236324
12:42:03.283 a=2239781,b=2236595
12:42:03.283 a=2239049,b=2239049
12:42:03.283 a=2235869,b=2239049
12:42:03.283 a=2239700,b=2239049
12:42:03.283 a=2240440,b=2239700
12:42:03.283 a=2236949,b=2239700
12:42:03.283 a=2235065,b=2236949
12:42:03.284 a=2237527,b=2236949
12:42:03.284 a=2238967,b=2237527
12:42:03.284 a=2240862,b=2238967
12:42:03.284 a=2236060,b=2238967
