RepRapFirmware height map file v2 generated at 2026-08-22 12:04, min error 0.018, max error 0.659, mean 0.202, deviation 0.162
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,390.00,16.00,380.00,-1.00,126.65,121.32,4,4
  0.302,  0.234,  0.192,  0.257
  0.067,  0.018,  0.034,  0.184
  0.035,  0.034,  0.109,  0.327
  0.153,  0.234,  0.386,  0.659
