time,probe_value,Z,status
12:04:07,0,-0.0312,idle
12:04:10,0,-0.0312,idle
12:04:13,0,-0.0312,idle
12:04:16,0,-0.0312,idle
12:04:19,0,-0.0312,idle
12:04:22,0,-0.0312,idle
12:04:25,0,-0.0312,idle
12:04:28,0,-0.0312,idle
12:04:31,0,-0.0312,idle
12:04:34,0,-0.0312,idle
12:04:37,0,-0.0312,idle
12:04:40,0,-0.0312,idle
12:04:43,0,-0.0312,idle
12:04:46,0,-0.0312,idle
12:04:49,0,-0.0312,idle
12:04:52,0,-0.0312,idle
12:04:55,0,-0.0312,idle
12:04:58,0,-0.0312,idle
12:05:01,0,-0.0312,idle
12:05:04,0,-0.0312,idle
12:05:07,0,-0.0312,idle
12:05:10,0,-0.0312,idle
12:05:13,0,-0.0312,idle
12:05:16,0,-0.0312,idle
12:05:19,0,-0.0312,idle
12:05:22,0,-0.0312,idle
12:05:25,0,-0.0312,idle
12:05:28,0,-0.0312,idle
12:05:31,0,-0.0312,idle
12:05:33,0,-0.0312,idle
12:05:36,0,-0.0312,idle
12:05:39,0,-0.0312,idle
12:05:42,0,-0.0312,idle
12:05:45,0,-0.0312,idle
12:05:48,0,-0.0312,idle
12:05:51,0,-0.0312,idle
12:05:54,0,-0.0312,idle
12:05:57,0,-0.0312,idle
12:06:00,0,-0.0312,idle
12:06:03,0,-0.0312,idle
12:06:06,0,-0.0312,idle
12:06:09,0,-0.0312,idle
12:06:12,0,-0.0312,idle
12:06:15,0,-0.0312,idle
12:06:18,0,-0.0312,idle
12:06:21,0,-0.0312,idle
12:06:24,0,-0.0312,idle
12:06:26,0,-0.0312,idle
12:06:29,0,-0.0312,idle
12:06:32,0,-0.0312,idle
12:06:35,0,-0.0312,idle
12:06:38,0,-0.0312,idle
12:06:41,0,-0.0312,idle
12:06:44,0,-0.0312,idle
12:06:47,0,-0.0312,idle
12:06:50,0,-0.0312,idle
12:06:53,0,-0.0312,idle
12:06:56,0,-0.0312,idle
12:06:59,0,-0.0312,idle
12:07:02,0,-0.0312,idle
12:07:05,0,-0.0312,idle
12:07:08,0,-0.0312,idle
12:07:11,0,-0.0312,idle
12:07:14,0,-0.0312,idle
12:07:17,0,-0.0312,idle
12:07:19,0,-0.0312,idle
12:07:22,0,-0.0312,idle
12:07:25,0,-0.0312,idle
12:07:28,0,-0.0312,idle
12:07:31,0,-0.0312,idle
12:07:34,0,-0.0312,idle
12:07:37,0,-0.0312,idle
12:07:40,0,-0.0312,idle
12:07:43,0,-0.0312,idle
12:07:46,0,-0.0312,idle
12:07:49,0,-0.0312,idle
12:07:52,0,-0.0312,idle
12:07:55,0,-0.0312,idle
12:07:58,0,-0.0312,idle
12:08:00,0,-0.0312,idle
12:08:03,0,-0.0312,idle
12:08:06,0,-0.0312,idle
12:08:09,0,-0.0312,idle
12:08:12,0,-0.0312,idle
12:08:15,0,-0.0312,idle
12:08:18,0,-0.0312,idle
12:08:21,0,-0.0312,idle
12:08:24,0,-0.0312,idle
12:08:27,0,-0.0312,idle
12:08:30,0,-0.0312,idle
12:08:33,0,-0.0312,idle
12:08:36,0,-0.0312,idle
12:08:39,0,-0.0312,idle
12:08:42,0,-0.0312,idle
12:08:45,0,-0.0312,idle
12:08:47,0,-0.0312,idle
12:08:50,0,-0.0312,idle
12:08:53,0,-0.0312,idle
12:08:56,0,-0.0312,idle
12:08:59,0,-0.0312,idle
12:09:02,0,-0.0312,idle
12:09:05,0,-0.0312,idle
12:09:08,0,-0.0312,idle
12:09:11,0,-0.0312,idle
12:09:14,0,-0.0312,idle
12:09:17,0,-0.0312,idle
12:09:20,0,-0.0312,idle
12:09:23,0,-0.0312,idle
12:09:26,0,-0.0312,idle
12:09:29,0,-0.0312,idle
12:09:32,0,-0.0312,idle
12:09:35,0,-0.0312,idle
12:09:38,0,-0.0312,idle
12:09:41,0,-0.0312,idle
12:09:44,0,-0.0312,idle
12:09:47,0,-0.0312,idle
12:09:49,0,-0.0312,idle
12:09:52,0,-0.0312,idle
12:09:55,0,-0.0312,idle
12:09:58,0,-0.0312,idle
12:10:01,0,-0.0312,idle
12:10:04,0,-0.0312,idle
12:10:07,0,-0.0312,idle
12:10:10,0,-0.0312,idle
12:10:13,0,-0.0312,idle
12:10:16,0,-0.0312,idle
12:10:19,0,-0.0312,idle
12:10:22,0,-0.0312,idle
12:10:25,0,-0.0312,idle
12:10:28,0,-0.0312,idle
12:10:31,0,-0.0312,idle
12:10:34,0,-0.0312,idle
12:10:37,0,-0.0312,idle
12:10:40,0,-0.0312,idle
12:10:42,0,-0.0312,idle
12:10:45,0,-0.0312,idle
12:10:48,0,-0.0312,idle
12:10:51,0,-0.0312,idle
12:10:54,0,-0.0312,idle
12:10:57,0,-0.0312,idle
12:11:00,0,-0.0312,idle
12:11:03,0,-0.0312,idle
12:11:06,0,-0.0312,idle
12:11:09,0,-0.0312,idle
12:11:12,0,-0.0312,idle
12:11:15,0,-0.0312,idle
12:11:18,0,-0.0312,idle
12:11:21,0,-0.0312,idle
12:11:24,0,-0.0312,idle
12:11:27,0,-0.0312,idle
12:11:29,0,-0.0312,idle
12:11:32,0,-0.0312,idle
12:11:35,0,-0.0312,idle
12:11:38,0,-0.0312,idle
12:11:41,0,-0.0312,idle
12:11:44,0,-0.0312,idle
12:11:47,0,-0.0312,idle
12:11:50,0,-0.0312,idle
12:11:53,0,-0.0312,idle
12:11:56,0,-0.0312,idle
12:11:59,0,-0.0312,idle
12:12:02,0,-0.0312,idle
12:12:05,0,-0.0312,idle
12:12:08,0,-0.0312,idle
