RepRapFirmware height map file v2 generated at 2026-09-16 20:44, min error -0.128, max error 0.579, mean 0.144, deviation 0.153
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,390.00,16.00,384.00,-1.00,63.33,61.33,7,7
  0.274,  0.239,  0.131,  0.103,  0.124,  0.145,  0.273
  0.139,  0.092,  0.018, -0.006, -0.004, -0.014,  0.116
  0.040,  0.032, -0.055, -0.047, -0.054, -0.128,  0.027
  0.046,  0.064,  0.009,  0.023,  0.014, -0.027,  0.071
  0.196,  0.142,  0.102,  0.116,  0.086,  0.045,  0.165
  0.408,  0.298,  0.223,  0.208,  0.167,  0.152,  0.296
  0.579,  0.544,  0.406,  0.319,  0.303,  0.302,  0.363
