time,probe,Z,status
12:22:16,0,4.97,idle
12:22:16,0,4.97,idle
12:22:16,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:17,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:18,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:19,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:20,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:21,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:22,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:23,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:24,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:25,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:26,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:27,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:28,0,4.97,idle
12:22:29,0,4.97,idle
12:22:29,0,4.97,idle
12:22:29,0,4.97,idle
12:22:29,0,4.97,idle
