RepRapFirmware height map file v2 generated at 2026-08-22 12:14, min error 0.161, max error 0.264, mean 0.217, deviation 0.027
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,350.00,390.00,16.00,56.00,-1.00,10.00,10.00,5,5
  0.195,  0.213,  0.227,  0.242,  0.257
  0.204,  0.219,  0.236,  0.252,  0.264
  0.190,  0.204,  0.219,  0.238,  0.256
  0.174,  0.189,  0.212,  0.224,  0.246
  0.161,  0.176,  0.192,  0.213,  0.230
