RepRapFirmware height map file v2 generated at 2026-08-30 19:07, min error -0.308, max error 0.011, mean -0.114, deviation 0.065
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,390.00,16.00,384.00,-1.00,31.66,30.66,13,13
 -0.139, -0.087, -0.056, -0.096, -0.124, -0.127, -0.146, -0.143, -0.157, -0.193, -0.179, -0.172, -0.151
 -0.176, -0.130, -0.099, -0.103, -0.106, -0.102, -0.106, -0.114, -0.134, -0.177, -0.182, -0.173, -0.164
 -0.221, -0.176, -0.134, -0.122, -0.114, -0.109, -0.103, -0.114, -0.132, -0.176, -0.182, -0.194, -0.184
 -0.263, -0.213, -0.155, -0.139, -0.123, -0.101, -0.089, -0.105, -0.111, -0.174, -0.194, -0.219, -0.220
 -0.298, -0.222, -0.154, -0.142, -0.106, -0.071, -0.066, -0.067, -0.112, -0.164, -0.232, -0.231, -0.224
 -0.308, -0.223, -0.141, -0.108, -0.094, -0.060, -0.026, -0.049, -0.069, -0.135, -0.188, -0.188, -0.213
 -0.299, -0.210, -0.136, -0.096, -0.065, -0.034, -0.002, -0.008, -0.030, -0.096, -0.123, -0.148, -0.160
 -0.262, -0.181, -0.107, -0.073, -0.064, -0.019,  0.011,  0.010, -0.031, -0.066, -0.101, -0.131, -0.141
 -0.220, -0.141, -0.075, -0.052, -0.026, -0.012,  0.007,  0.009, -0.031, -0.072, -0.105, -0.111, -0.115
 -0.142, -0.104, -0.066, -0.061, -0.049, -0.026, -0.006, -0.013, -0.034, -0.094, -0.114, -0.112, -0.074
 -0.095, -0.062, -0.064, -0.058, -0.067, -0.029, -0.028, -0.028, -0.074, -0.108, -0.101, -0.112, -0.034
 -0.076, -0.059, -0.062, -0.062, -0.084, -0.093, -0.084, -0.102, -0.106, -0.144, -0.128, -0.115, -0.036
 -0.057, -0.058, -0.056, -0.070, -0.107, -0.141, -0.147, -0.151, -0.151, -0.149, -0.141, -0.114, -0.037
