12:47:54.942 >> td
12:47:54.992 trigger debug on
12:47:55.295 >> v
12:47:55.450 a=2239460,b=2239970
12:47:55.450 a=2242956,b=2239970
12:47:55.450 a=2242792,b=2242792
12:47:55.450 a=2239461,b=2242792
12:47:55.450 a=2239650,b=2239650
12:47:55.450 a=2240698,b=2239650
12:47:55.450 a=2239705,b=2239705
12:47:55.450 a=2236115,b=2239705
12:47:55.450 a=2236506,b=2236506
12:47:55.450 a=2238821,b=2236506
12:47:55.450 a=2237706,b=2237706
12:47:55.450 a=2237058,b=2237706
12:47:55.451 a=2242361,b=2237706
12:47:55.451 a=2238900,b=2238900
12:47:55.451 a=2240130,b=2240130
12:47:55.451 a=2241742,b=2240130
12:47:55.451 a=2238388,b=2240130
12:47:55.451 a=2241702,b=2241702
12:47:55.451 a=2245740,b=2241702
12:47:55.451 a=2242545,b=2242545
12:47:55.451 a=2238418,b=2242545
12:47:55.451 a=2239688,b=2239688
12:47:55.451 a=2240348,b=2239688
12:47:55.451 a=2235668,b=2239688
12:47:55.451 a=2236234,b=2236234
12:47:55.451 a=2237378,b=2236234
12:47:55.451 a=2240251,b=2237378
12:47:55.451 a=2242428,b=2240251
12:47:55.451 a=2243441,b=2242428
12:47:55.451 a=2241465,b=2242428
12:47:55.451 a=2238754,b=2241465
12:47:55.451 a=2243696,b=2241465
12:47:55.451 a=2241787,b=2241787
12:47:55.451 a=2238229,b=2241787
12:47:55.451 a=2238613,b=2238613
12:47:55.451 a=2239111,b=2238613
12:47:55.451 a=2238496,b=2238613
12:47:55.451 a=2241109,b=2239111
12:47:55.451 a=2240126,b=2240126
12:47:55.451 a=2237431,b=2240126
12:47:55.451 a=2234508,b=2237431
12:47:55.451 a=2237267,b=2237267
12:47:55.451 a=2239905,b=2237267
12:47:55.502 a=2237660,b=2237660
12:47:55.502 a=2239597,b=2239597
12:47:55.502 a=2242489,b=2239597
12:47:55.502 a=2240057,b=2240057
12:47:55.502 a=2236764,b=2240057
12:47:55.502 a=2235048,b=2236764
12:47:55.502 a=2242408,b=2236764
12:47:55.502 a=2242269,b=2242269
12:47:55.502 a=2239423,b=2242269
12:47:55.502 a=2239313,b=2239423
12:47:55.502 a=2238435,b=2239313
12:47:55.502 a=2237590,b=2238435
12:47:55.502 a=2241838,b=2238435
12:47:55.502 a=2245091,b=2241838
12:47:55.502 a=2241020,b=2241838
12:47:55.502 a=2237355,b=2241020
12:47:55.502 a=2240476,b=2240476
12:47:55.502 a=2241808,b=2240476
12:47:55.502 a=2239271,b=2240476
12:47:55.502 a=2242559,b=2241808
12:47:55.502 a=2240156,b=2240156
12:47:55.502 a=2238311,b=2240156
12:47:55.502 a=2241312,b=2240156
12:47:55.502 a=2239670,b=2239670
12:47:55.502 a=2238164,b=2239670
12:47:55.502 a=2237950,b=2238164
12:47:55.502 a=2236859,b=2237950
12:47:55.502 a=2238135,b=2237950
12:47:55.502 a=2236404,b=2236859
12:47:55.502 a=2236864,b=2236864
12:47:55.502 a=2240121,b=2236864
12:47:55.502 a=2245127,b=2240121
12:47:55.502 a=2243370,b=2243370
12:47:55.503 a=2240848,b=2243370
12:47:55.503 a=2240511,b=2240848
12:47:55.503 a=2238835,b=2240511
