Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
0,0.04,-0.01,20.3,0
1,0.55,0.01,23.6,0
2,1.07,-0.01,20.1,0
3,1.57,-0.01,21.8,0
4,2.09,-0.02,19.6,0
5,2.60,-0.07,22.9,0
6,3.11,-0.07,21.5,0
7,3.60,-0.07,18.5,0
8,4.11,-0.06,25.5,0
9,4.54,-0.10,27.2,0
10,5.05,-0.05,29.8,0
11,5.56,-0.01,32.6,0
12,6.08,0.02,37.4,0
13,6.60,0.01,30.8,0
14,7.12,0.06,37.4,0
15,7.63,0.09,44.7,0
16,8.05,0.12,43.1,0
17,8.57,0.15,47.1,0
18,9.08,0.18,50.0,0
19,9.60,0.16,42.9,0
20,10.11,0.13,39.2,0
21,10.61,0.21,47.2,0
22,11.05,0.17,45.2,0
23,11.57,0.21,50.8,0
24,12.08,0.16,44.3,0
25,12.60,0.17,50.8,0
26,13.12,0.15,53.1,0
27,13.55,0.13,49.7,0
28,14.05,0.07,47.8,0
29,14.57,0.09,44.4,0
30,15.09,0.06,45.5,0
31,15.61,0.05,47.8,0
32,16.12,0.00,46.7,0
33,16.56,0.00,52.8,0
34,17.06,-0.05,43.6,0
35,17.58,-0.06,48.2,0
36,18.09,-0.07,48.6,0
37,18.61,-0.12,49.0,0
38,19.12,-0.10,49.0,0
39,19.56,-0.17,43.0,0
40,20.07,-0.18,48.4,0
41,20.59,-0.22,43.7,0
42,21.11,-0.22,49.1,0
43,21.54,-0.27,47.4,0
44,22.04,-0.26,51.4,0
45,22.56,-0.31,48.6,0
46,23.06,-0.31,44.8,0
47,23.57,-0.33,46.2,0
48,24.08,-0.38,42.5,0
49,24.60,-0.33,56.8,0
50,25.12,-0.40,48.3,0
51,25.55,-0.38,53.3,0
52,26.05,-0.39,57.9,0
53,26.57,-0.40,50.9,0
54,27.09,-0.43,51.5,0
55,27.61,-0.42,54.2,0
56,28.12,-0.49,50.0,0
57,28.56,-0.52,51.8,0
