Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,52844,645.07,0.00,-1.1,0
1,1.07,52841,645.04,0.01,-1.1,0
2,2.07,52827,644.97,0.11,-1.0,0
3,3.08,52817,644.90,0.16,-0.9,0
4,4.08,52810,644.83,0.17,-0.7,0
5,5.04,52805,644.71,0.12,-0.6,0
6,6.06,52780,644.51,0.23,-0.4,0
7,7.06,52755,644.32,0.33,-0.1,0
8,8.09,52746,644.11,0.24,0.1,0
9,9.11,52729,643.89,0.22,0.4,0
10,10.04,52714,643.65,0.17,0.6,0
11,11.04,52698,643.40,0.12,0.7,0
12,12.05,52686,643.15,0.01,0.8,0
13,13.06,52675,642.90,-0.11,0.8,0
14,14.07,52660,642.65,-0.17,0.6,0
15,15.10,52647,642.39,-0.27,0.4,0
16,16.12,52633,642.13,-0.35,0.1,0
17,17.05,52613,641.90,-0.34,-0.2,0
18,18.06,52592,641.65,-0.34,-0.6,0
19,19.08,52571,641.40,-0.34,-1.0,0
20,20.10,52548,641.14,-0.32,-1.3,0
21,21.05,52526,640.90,-0.28,-1.6,0
22,22.06,52504,640.65,-0.27,-1.9,0
23,23.09,52483,640.39,-0.27,-2.1,0
24,24.12,52461,640.14,-0.26,-2.3,0
25,25.06,52436,639.90,-0.18,-2.5,0
26,26.08,52410,639.65,-0.12,-2.7,0
27,27.10,52389,639.39,-0.12,-2.8,0
28,28.12,52365,639.14,-0.09,-2.9,0
29,29.06,52348,638.90,-0.11,-3.0,0
30,30.08,52327,638.64,-0.11,-3.1,0
31,31.13,52307,638.38,-0.13,-3.3,0
32,32.06,52290,638.15,-0.16,-3.4,0
33,33.10,52265,637.89,-0.11,-3.5,0
34,34.06,52249,637.65,-0.16,-3.6,0
35,35.07,52228,637.40,-0.15,-3.8,0
36,36.10,52206,637.14,-0.13,-3.9,0
37,37.12,52186,636.89,-0.15,-4.1,0
38,38.06,52168,636.65,-0.17,-4.2,0
39,39.10,52148,636.39,-0.18,-4.4,0
40,40.10,52127,636.14,-0.17,-4.5,0
41,41.05,52103,635.90,-0.12,-4.7,0
42,42.05,52083,635.65,-0.12,-4.8,0
43,43.06,52061,635.40,-0.11,-4.9,0
44,44.09,52038,635.14,-0.09,-5.0,0
45,45.13,52016,634.88,-0.07,-5.1,0
46,46.05,51999,634.65,-0.10,-5.1,0
47,47.07,51977,634.40,-0.09,-5.3,0
48,48.10,51957,634.14,-0.10,-5.3,0
49,49.05,51936,633.90,-0.09,-5.4,0
