Sample,Timestamp,Current Error
0,0.04,-0.01
1,5.07,-0.10
2,10.05,-0.07
3,15.11,0.16
4,20.04,0.31
5,25.11,0.29
6,30.08,0.15
7,35.11,0.06
8,40.12,0.13
9,45.08,0.12
10,50.05,0.10
11,55.12,0.07
12,60.11,0.11
13,65.07,0.10
14,70.05,0.10
15,75.11,0.05
16,80.12,0.06
17,85.09,0.04
18,90.08,0.10
19,95.05,0.01
20,100.12,0.07
21,105.10,0.05
22,110.07,-0.02
23,115.07,0.02
24,120.04,0.04
25,125.04,0.01
26,130.04,0.01
27,135.11,0.04
28,140.10,0.00
29,145.08,0.05
30,150.08,0.04
31,155.06,-0.05
32,160.06,-0.04
33,165.05,0.01
34,170.11,-0.01
35,175.09,-0.01
36,180.08,0.01
37,185.07,0.00
38,190.06,-0.06
39,195.06,0.01
40,200.05,0.01
41,205.05,-0.07
42,210.04,0.01
43,215.11,0.07
44,220.10,-0.01
45,225.09,-0.02
46,230.07,0.02
47,235.06,0.01
48,240.11,-0.09
49,245.09,0.04
50,250.06,0.00
51,255.06,-0.06
52,260.11,0.01
53,265.11,0.02
54,270.10,-0.07
55,275.09,-0.02
56,280.07,0.09
57,285.07,-0.07
58,290.06,0.01
59,295.05,0.07
60,300.05,-0.01
61,305.11,0.00
62,310.07,0.01
63,315.06,0.00
64,320.05,-0.06
65,325.09,0.00
66,330.09,0.04
67,335.07,-0.07
68,340.11,-0.04
69,345.07,0.05
70,350.07,-0.02
71,355.07,0.00
72,360.10,0.05
73,365.08,-0.02
74,370.06,0.00
75,375.12,0.02
76,380.09,0.01
77,385.09,0.00
78,390.07,0.04
79,395.04,0.01
80,400.07,-0.01
81,405.07,-0.04
82,410.06,0.06
83,415.05,-0.02
84,420.10,-0.01
85,425.09,0.04
86,430.07,0.06
87,435.05,0.00
88,440.11,0.01
89,445.07,-0.02
90,450.06,0.01
91,455.05,0.05
92,460.12,0.02
93,465.11,-0.01
94,470.09,-0.01
95,475.09,0.00
96,480.09,-0.04
97,485.09,-0.01
98,490.07,0.04
99,495.07,-0.02
100,500.07,0.02
101,505.06,0.05
102,510.04,-0.02
103,515.11,0.04
104,520.11,0.01
105,525.11,-0.06
106,530.11,0.04
107,535.09,0.05
108,540.06,-0.04
109,545.05,0.02
110,550.11,0.02
111,555.09,0.00
112,560.06,0.00
113,565.06,0.02
114,570.05,-0.02
115,575.05,-0.01
116,580.10,0.04
117,585.06,0.04
118,590.05,-0.06
119,595.04,0.00
120,600.11,0.04
121,605.08,-0.06
122,610.06,0.00
123,615.04,0.04
124,620.11,-0.09
125,625.10,0.00
126,630.07,0.04
127,635.06,-0.05
128,640.13,-0.06
129,645.11,0.02
130,650.11,0.05
131,655.08,-0.02
132,660.09,0.01
133,665.05,0.09
134,670.11,-0.06
135,675.07,0.00
136,680.07,0.09
137,685.06,-0.06
138,690.04,-0.01
139,695.10,0.06
140,700.09,-0.01
141,705.06,-0.04
142,710.05,0.04
143,715.11,0.06
144,720.10,-0.04
145,725.06,0.04
146,730.12,0.05
147,735.11,-0.07
148,740.09,-0.05
149,745.06,0.05
150,750.06,-0.01
151,755.05,-0.07
152,760.10,0.06
153,765.08,-0.05
154,770.05,-0.01
155,775.12,0.02
156,780.11,0.02
157,785.12,-0.02
158,790.11,0.04
159,795.09,0.02
160,800.07,-0.04
161,805.07,-0.01
162,810.13,0.04
163,815.11,-0.01
164,820.10,-0.02
165,825.07,0.04
166,830.07,-0.01
167,835.10,-0.02
168,840.09,0.04
169,845.07,-0.01
170,850.06,0.01
171,855.06,0.02
172,860.06,0.01
173,865.06,0.00
174,870.12,0.00
175,875.11,0.01
176,880.08,-0.02
177,885.06,-0.01
178,890.08,0.02
179,895.07,-0.04
180,900.04,0.05
181,905.08,0.01
182,910.06,-0.01
183,915.12,0.04
184,920.07,0.00
185,925.07,-0.06
186,930.05,0.05
187,935.04,0.04
188,940.11,-0.04
189,945.08,-0.01
190,950.05,0.01
191,955.11,-0.07
192,960.08,-0.02
193,965.07,0.01
194,970.06,0.01
195,975.05,-0.04
196,980.12,0.02
197,985.10,0.04
198,990.09,-0.06
199,995.12,0.01
200,1000.06,0.07
201,1005.12,-0.01
202,1010.10,-0.01
203,1015.07,0.06
204,1020.06,-0.04
205,1025.07,-0.02
206,1030.05,0.05
207,1035.04,0.01
208,1040.09,-0.07
209,1045.07,0.06
210,1050.05,0.02
211,1055.05,-0.09
212,1060.10,0.04
213,1065.08,0.06
214,1070.06,-0.06
215,1075.06,0.00
216,1080.07,0.05
217,1085.07,-0.06
218,1090.12,-0.02
219,1095.09,0.02
220,1100.06,-0.01
221,1105.05,-0.02
222,1110.12,-0.01
223,1115.09,0.04
224,1120.07,-0.09
225,1125.06,0.00
226,1130.05,0.04
227,1135.09,-0.04
228,1140.09,-0.02
229,1145.08,0.06
230,1150.08,-0.06
231,1155.06,-0.07
232,1160.05,0.05
233,1165.12,0.00
234,1170.10,-0.05
235,1175.07,-0.01
236,1180.07,0.04
237,1185.06,-0.02
238,1190.05,0.05
239,1195.12,0.05
240,1200.05,-0.05
241,1205.04,-0.01
242,1210.05,0.07
243,1215.12,-0.02
244,1220.10,-0.04
245,1225.06,0.06
246,1230.05,0.01
247,1235.04,-0.04
248,1240.07,0.05
249,1245.05,0.05
250,1250.04,-0.01
251,1255.12,0.04
252,1260.11,0.02
253,1265.10,0.00
254,1270.09,-0.02
255,1275.11,0.02
256,1280.11,-0.02
257,1285.07,0.02
258,1290.06,0.01
259,1295.05,0.02
260,1300.09,0.00
261,1305.08,0.00
262,1310.06,-0.04
263,1315.06,0.02
264,1320.05,0.00
265,1325.05,-0.02
266,1330.05,0.01
267,1335.12,0.05
268,1340.11,-0.05
269,1345.07,0.01
270,1350.05,0.04
271,1355.04,-0.02
272,1360.04,-0.01
273,1365.05,0.01
274,1370.12,0.02
275,1375.12,-0.02
276,1380.07,0.05
277,1385.05,0.00
278,1390.11,-0.06
279,1395.11,-0.01
280,1400.10,0.05
281,1405.09,-0.07
282,1410.07,-0.02
283,1415.08,0.02
284,1420.05,-0.07
285,1425.05,-0.06
286,1430.04,0.05
287,1435.08,-0.02
288,1440.07,-0.06
289,1445.05,0.01
290,1450.05,0.01
291,1455.10,-0.10
292,1460.10,0.00
293,1465.08,0.05
294,1470.08,-0.09
295,1475.06,-0.02
296,1480.04,0.09
297,1485.04,-0.06
298,1490.07,-0.01
299,1495.04,0.06
300,1500.10,0.00
301,1505.07,-0.04
302,1510.06,0.04
303,1515.11,0.00
304,1520.10,-0.05
305,1525.10,0.04
306,1530.08,0.07
307,1535.05,-0.04
308,1540.04,-0.01
309,1545.09,0.05
310,1550.06,-0.05
311,1555.04,-0.04
312,1560.05,0.04
313,1565.04,0.01
314,1570.10,0.00
315,1575.08,0.04
316,1580.06,0.01
317,1585.06,-0.01
318,1590.04,0.04
319,1595.12,0.05
320,1600.09,-0.05
321,1605.07,-0.01
322,1610.08,0.04
323,1615.05,-0.02
324,1620.12,0.01
325,1625.12,0.02
326,1630.05,0.00
327,1635.12,-0.02
328,1640.07,0.04
329,1645.06,-0.01
330,1650.12,-0.01
331,1655.09,0.02
332,1660.09,0.01
333,1665.06,0.00
334,1670.12,-0.05
335,1675.13,0.02
336,1680.09,-0.05
337,1685.07,-0.01
338,1690.12,0.01
339,1695.09,-0.01
340,1700.08,0.02
341,1705.07,0.04
342,1710.05,-0.01
343,1715.04,0.05
344,1720.11,0.05
345,1725.10,-0.04
346,1730.08,0.04
347,1735.05,0.05
348,1740.12,-0.05
349,1745.09,-0.01
350,1750.07,0.01
351,1755.06,-0.01
352,1760.05,-0.01
353,1765.04,0.01
354,1770.11,0.02
355,1775.11,-0.02
356,1780.09,0.00
357,1785.05,0.02
358,1790.04,-0.05
359,1795.08,-0.01
360,1800.05,0.04
361,1805.05,-0.07
362,1810.11,0.01
363,1815.10,0.04
364,1820.07,-0.01
365,1825.04,-0.05
366,1830.11,0.00
367,1835.08,-0.01
