Sample,Timestamp,Current Error
0,0.04,-0.05
1,5.07,0.07
2,10.04,0.09
3,15.07,-0.33
4,20.09,-0.29
5,25.07,-0.20
6,30.13,-0.12
7,35.08,-0.05
8,40.05,-0.12
9,45.13,-0.12
10,50.09,-0.07
11,55.11,-0.07
12,60.12,-0.02
13,65.11,-0.02
14,70.10,-0.02
15,75.09,0.06
16,80.08,0.01
17,85.07,0.00
18,90.07,0.06
19,95.06,0.00
20,100.12,0.01
21,105.07,0.04
22,110.07,0.01
23,115.07,0.00
24,120.06,0.05
25,125.05,0.00
26,130.04,0.04
27,135.12,-0.01
28,140.12,0.06
29,145.11,0.01
30,150.10,0.04
31,155.08,0.05
32,160.06,0.01
33,165.12,-0.02
34,170.08,0.07
35,175.07,0.00
36,180.07,0.02
37,185.11,0.04
38,190.09,0.02
39,195.09,0.05
40,200.09,0.00
41,205.07,0.00
42,210.06,0.04
43,215.12,-0.02
44,220.10,0.01
45,225.07,-0.02
46,230.08,-0.02
47,235.08,0.05
48,240.08,0.00
49,245.07,-0.06
50,250.07,0.01
51,255.05,0.00
52,260.12,-0.04
53,265.12,-0.01
54,270.12,-0.07
55,275.11,-0.04
56,280.10,-0.01
57,285.11,-0.01
58,290.11,-0.04
59,295.11,-0.06
60,300.11,-0.02
61,305.09,-0.01
62,310.08,-0.02
63,315.06,0.01
64,320.06,-0.04
65,325.05,-0.06
66,330.05,-0.04
67,335.05,-0.06
68,340.12,-0.02
69,345.11,-0.02
70,350.09,-0.02
71,355.09,-0.01
72,360.10,-0.02
73,365.07,-0.02
74,370.07,0.05
75,375.06,-0.05
76,380.07,-0.01
77,385.05,0.01
78,390.04,-0.01
79,395.12,0.02
80,400.11,-0.02
81,405.10,0.00
82,410.12,0.02
83,415.08,-0.06
84,420.08,0.00
85,425.08,-0.01
86,430.08,0.00
87,435.05,-0.01
88,440.05,0.00
89,445.05,-0.01
90,450.10,0.00
91,455.11,-0.01
92,460.10,0.06
93,465.08,0.02
94,470.07,-0.06
95,475.08,0.04
96,480.07,0.02
97,485.07,0.01
98,490.07,0.06
99,495.05,-0.01
100,500.05,-0.02
101,505.11,0.06
102,510.08,0.01
103,515.08,0.05
104,520.07,0.06
105,525.06,0.06
106,530.05,0.05
107,535.10,0.00
108,540.10,0.02
109,545.09,0.04
110,550.08,0.00
111,555.07,0.05
112,560.05,0.01
113,565.04,0.00
114,570.12,0.02
115,575.11,0.02
116,580.09,-0.01
117,585.09,0.01
118,590.06,0.02
119,595.05,0.02
120,600.04,0.02
121,605.06,0.06
122,610.05,0.00
123,615.12,0.00
124,620.12,0.02
125,625.10,0.02
126,630.10,-0.02
127,635.10,0.07
128,640.07,-0.01
129,645.07,0.00
130,650.06,0.00
131,655.05,-0.05
132,660.11,0.00
133,665.11,0.02
134,670.10,-0.01
135,675.07,0.02
136,680.07,-0.01
137,685.06,0.00
138,690.07,-0.01
139,695.06,-0.06
140,700.06,0.02
141,705.06,-0.01
142,710.05,-0.05
143,715.05,0.02
144,720.13,0.01
145,725.11,-0.01
146,730.10,0.05
147,735.09,-0.01
148,740.06,0.00
149,745.05,-0.01
150,750.06,-0.01
151,755.05,-0.02
152,760.04,-0.04
153,765.12,0.02
154,770.11,0.00
155,775.11,-0.06
156,780.10,0.02
157,785.07,-0.01
158,790.06,-0.01
159,795.06,0.01
160,800.06,-0.02
161,805.05,-0.01
162,810.11,0.01
163,815.05,-0.02
164,820.05,0.00
165,825.05,0.06
