Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.05,921,11.25,0.01,-1.8,0
1,1.08,918,11.22,0.01,-1.8,0
2,2.11,904,11.15,0.11,-1.8,0
3,3.06,899,11.08,0.11,-1.7,0
4,4.08,893,11.00,0.11,-1.5,0
5,5.11,877,10.87,0.17,-1.4,0
6,6.05,858,10.69,0.22,-1.2,0
7,7.05,837,10.49,0.27,-1.0,0
8,8.07,824,10.29,0.23,-0.7,0
9,9.08,812,10.07,0.16,-0.5,0
10,10.10,793,9.81,0.13,-0.4,0
11,11.12,778,9.56,0.06,-0.2,0
12,12.06,763,9.32,0.01,-0.2,0
13,13.09,748,9.06,-0.06,-0.2,0
14,14.11,737,8.81,-0.18,-0.4,0
15,15.05,723,8.58,-0.24,-0.6,0
16,16.05,708,8.32,-0.32,-0.9,0
17,17.06,693,8.07,-0.39,-1.2,0
18,18.08,674,7.82,-0.42,-1.6,0
19,19.09,648,7.56,-0.34,-2.0,0
20,20.11,629,7.31,-0.37,-2.3,0
21,21.07,604,7.07,-0.31,-2.6,0
22,22.08,580,6.82,-0.27,-2.9,0
23,23.11,555,6.56,-0.22,-3.2,0
24,24.05,532,6.32,-0.17,-3.4,0
25,25.08,515,6.07,-0.22,-3.6,0
26,26.10,488,5.81,-0.15,-3.7,0
27,27.05,469,5.57,-0.15,-3.8,0
28,28.08,445,5.32,-0.11,-4.0,0
29,29.09,427,5.07,-0.15,-4.1,0
30,30.08,407,4.82,-0.16,-4.3,0
31,31.08,391,4.57,-0.21,-4.4,0
32,32.11,367,4.31,-0.17,-4.6,0
33,33.07,348,4.07,-0.18,-4.8,0
34,34.09,323,3.82,-0.12,-5.0,0
35,35.11,302,3.56,-0.12,-5.1,0
36,36.12,282,3.31,-0.13,-5.3,0
37,37.08,258,3.07,-0.09,-5.4,0
38,38.11,240,2.81,-0.12,-5.5,0
39,39.05,219,2.57,-0.10,-5.6,0
40,40.08,203,2.32,-0.16,-5.7,0
41,41.11,183,2.06,-0.17,-5.8,0
42,42.10,160,1.81,-0.15,-6.0,0
43,43.05,141,1.58,-0.15,-6.1,0
44,44.05,121,1.32,-0.16,-6.3,0
45,45.08,103,1.07,-0.20,-6.5,0
46,46.08,82,0.82,-0.18,-6.6,0
47,47.11,62,0.56,-0.20,-6.8,0
48,48.05,43,0.33,-0.20,-7.0,0
49,49.08,18,0.07,-0.15,-7.2,0
50,50.08,-5,-0.18,-0.12,-7.3,0
51,51.12,-31,-0.44,-0.06,-7.4,0
52,52.06,-50,-0.68,-0.06,-7.5,0
53,53.06,-70,-0.93,-0.07,-7.5,0
54,54.08,-93,-1.18,-0.05,-7.6,0
55,55.10,-109,-1.44,-0.11,-7.6,0
56,56.11,-134,-1.69,-0.06,-7.7,0
57,57.05,-151,-1.92,-0.09,-7.8,0
58,58.06,-171,-2.18,-0.09,-7.8,0
59,59.07,-191,-2.43,-0.10,-7.9,0
60,60.08,-211,-2.68,-0.11,-8.0,0
61,61.11,-229,-2.94,-0.15,-8.2,0
62,62.13,-248,-3.20,-0.17,-8.3,0
63,63.05,-266,-3.43,-0.18,-8.5,0
64,64.06,-290,-3.68,-0.13,-8.6,0
65,65.08,-316,-3.93,-0.07,-8.8,0
66,66.10,-334,-4.19,-0.11,-8.9,0
67,67.12,-361,-4.44,-0.04,-9.0,0
68,68.06,-383,-4.68,0.00,-9.0,0
69,69.07,-402,-4.93,-0.02,-9.0,0
70,70.08,-423,-5.18,-0.02,-9.0,0
71,71.09,-443,-5.44,-0.02,-9.0,0
72,72.09,-460,-5.69,-0.07,-9.0,0
73,73.11,-483,-5.94,-0.05,-9.1,0
74,74.13,-501,-6.19,-0.07,-9.2,0
75,75.06,-520,-6.43,-0.09,-9.2,0
76,76.08,-540,-6.68,-0.09,-9.3,0
77,77.08,-562,-6.93,-0.07,-9.4,0
78,78.09,-580,-7.19,-0.11,-9.5,0
79,79.11,-598,-7.44,-0.13,-9.6,0
80,80.10,-622,-7.69,-0.10,-9.8,0
81,81.06,-638,-7.93,-0.13,-9.9,0
82,82.07,-665,-8.18,-0.06,-9.9,0
83,83.08,-689,-8.43,-0.02,-10.0,0
84,84.11,-711,-8.69,-0.01,-10.0,0
85,85.12,-736,-8.94,0.04,-10.0,0
86,86.05,-754,-9.17,0.02,-10.0,0
87,87.06,-773,-9.43,0.01,-10.0,0
