Sample,Timestamp,Current Error
293,1465.10,0.07
294,1470.06,-0.06
295,1475.08,0.01
296,1480.05,0.13
297,1485.11,0.00
298,1490.08,0.00
299,1495.12,0.09
300,1500.08,0.01
301,1505.12,-0.05
302,1510.09,0.06
303,1515.04,0.05
304,1520.08,-0.06
305,1525.09,0.05
306,1530.09,0.07
307,1535.07,-0.05
308,1540.10,0.06
309,1545.06,0.11
310,1550.11,-0.02
311,1555.10,-0.01
312,1560.07,0.07
313,1565.05,0.02
314,1570.11,0.02
315,1575.12,0.04
316,1580.10,0.04
317,1585.06,-0.06
318,1590.09,-0.01
319,1595.10,0.04
320,1600.09,-0.01
321,1605.07,-0.05
322,1610.10,0.05
323,1615.09,-0.04
324,1620.05,-0.01
325,1625.10,-0.01
326,1630.08,-0.06
327,1635.04,0.01
328,1640.08,-0.02
329,1645.12,-0.04
330,1650.08,-0.01
331,1655.09,0.02
332,1660.09,-0.02
333,1665.05,-0.05
334,1670.08,-0.06
335,1675.08,-0.04
336,1680.10,-0.05
337,1685.04,-0.01
338,1690.09,0.00
339,1695.10,-0.01
340,1700.05,-0.01
341,1705.10,0.00
342,1710.06,-0.02
343,1715.09,0.01
344,1720.06,-0.02
345,1725.11,-0.04
346,1730.09,0.02
347,1735.04,0.02
348,1740.05,-0.05
349,1745.09,0.01
350,1750.04,0.02
351,1755.08,-0.02
352,1760.10,-0.02
353,1765.05,0.01
354,1770.06,-0.01
355,1775.10,-0.01
356,1780.07,0.04
357,1785.07,0.01
358,1790.09,-0.07
359,1795.04,0.01
360,1800.10,0.05
361,1805.04,-0.06
362,1810.09,0.05
363,1815.09,0.07
364,1820.07,-0.04
365,1825.11,0.00
366,1830.09,0.07
367,1835.07,0.00
368,1840.09,0.00
369,1845.13,0.07
370,1850.06,0.06
371,1855.07,-0.06
372,1860.09,0.04
373,1865.05,0.10
374,1870.07,-0.05
375,1875.10,0.04
376,1880.05,0.06
377,1885.09,-0.02
378,1890.05,0.01
379,1895.08,0.06
380,1900.06,0.04
381,1905.13,-0.04
382,1910.10,0.09
383,1915.09,0.10
384,1920.09,-0.01
385,1925.04,0.00
386,1930.09,0.11
387,1935.06,-0.04
388,1940.05,0.02
389,1945.09,0.07
390,1950.07,-0.01
391,1955.10,-0.01
392,1960.09,0.05
393,1965.08,0.02
394,1970.09,0.02
395,1975.08,0.05
396,1980.11,0.09
397,1985.04,-0.02
398,1990.11,0.00
399,1995.08,0.04
400,2000.06,-0.02
401,2005.12,-0.04
402,2010.09,0.04
403,2015.07,-0.02
404,2020.10,-0.04
405,2025.08,0.00
406,2030.05,-0.06
407,2035.09,-0.06
408,2040.05,-0.05
409,2045.08,-0.04
410,2050.06,-0.01
411,2055.09,-0.04
412,2060.09,-0.04
413,2065.09,-0.04
414,2070.06,-0.06
415,2075.11,-0.01
416,2080.08,-0.02
417,2085.05,-0.04
418,2090.08,-0.02
419,2095.10,-0.06
420,2100.07,-0.01
421,2105.09,-0.06
422,2110.08,-0.10
423,2115.08,-0.05
424,2120.09,-0.04
425,2125.10,-0.07
426,2130.09,0.00
427,2135.09,-0.04
428,2140.11,-0.09
429,2145.08,-0.04
430,2150.10,-0.02
431,2155.09,-0.06
432,2160.04,-0.06
433,2165.09,0.00
434,2170.10,0.01
435,2175.06,-0.07
436,2180.04,0.01
437,2185.06,0.01
438,2190.09,-0.09
439,2195.05,0.00
440,2200.09,0.04
441,2205.10,-0.05
442,2210.04,0.00
443,2215.10,0.02
444,2220.07,-0.10
445,2225.04,-0.04
446,2230.09,0.04
447,2235.04,0.00
448,2240.06,-0.02
449,2245.12,0.06
450,2250.07,0.04
451,2255.08,-0.09
452,2260.07,0.01
453,2265.05,0.05
454,2270.10,-0.06
455,2275.07,0.05
456,2280.11,0.06
457,2285.08,0.00
458,2290.09,0.01
459,2295.09,0.05
460,2300.08,-0.04
461,2305.08,-0.02
462,2310.09,0.02
463,2315.05,0.05
464,2320.11,-0.01
465,2325.08,0.07
466,2330.05,0.11
467,2335.08,-0.05
468,2340.04,-0.02
469,2345.07,0.07
470,2350.12,0.00
471,2355.08,0.01
472,2360.10,0.06
473,2365.10,0.04
474,2370.08,0.00
475,2375.06,0.02
476,2380.11,0.05
477,2385.06,-0.06
478,2390.10,0.02
479,2395.06,0.04
480,2400.08,-0.05
481,2405.04,-0.06
482,2410.11,0.06
483,2415.05,-0.01
484,2420.08,-0.04
485,2425.09,0.02
486,2430.11,-0.04
487,2435.09,-0.02
488,2440.11,-0.01
489,2445.12,-0.02
490,2450.09,0.00
491,2455.05,-0.01
492,2460.08,-0.04
493,2465.09,0.00
494,2470.06,-0.02
495,2475.08,-0.04
496,2480.12,-0.02
497,2485.09,-0.01
498,2490.06,0.00
499,2495.07,-0.02
500,2500.08,0.02
501,2505.11,0.06
502,2510.09,0.00
503,2515.06,0.01
504,2520.09,0.05
505,2525.05,-0.04
506,2530.09,0.06
507,2535.06,0.02
508,2540.09,-0.05
509,2545.05,0.02
510,2550.09,0.04
511,2555.08,-0.04
512,2560.05,-0.01
513,2565.09,0.06
514,2570.04,0.05
515,2575.09,0.01
516,2580.11,0.06
517,2585.09,0.04
518,2590.05,-0.04
519,2595.09,0.01
520,2600.07,0.07
521,2605.08,-0.04
522,2610.06,0.01
523,2615.09,0.02
524,2620.10,-0.09
525,2625.09,0.00
526,2630.05,0.04
527,2635.09,0.04
528,2640.06,0.00
529,2645.09,0.10
530,2650.05,0.04
531,2655.07,-0.02
532,2660.12,0.04
533,2665.08,0.06
534,2670.04,-0.02
535,2675.07,0.04
536,2680.08,0.13
537,2685.04,-0.01
538,2690.07,0.06
539,2695.11,0.06
540,2700.12,0.05
541,2705.11,-0.01
542,2710.09,0.10
543,2715.07,0.07
544,2720.06,-0.06
545,2725.09,0.04
546,2730.08,0.11
547,2735.09,-0.01
548,2740.07,0.05
549,2745.12,0.07
550,2750.10,-0.01
551,2755.08,0.01
552,2760.05,0.10
553,2765.07,0.07
554,2770.11,-0.01
555,2775.08,0.01
556,2780.12,0.04
557,2785.07,0.01
558,2790.09,0.00
559,2795.05,0.05
560,2800.08,0.00
561,2805.09,-0.05
562,2810.04,0.06
563,2815.12,0.01
564,2820.11,-0.05
565,2825.07,-0.04
566,2830.06,-0.05
567,2835.07,-0.02
568,2840.04,-0.05
569,2845.10,-0.01
570,2850.07,-0.02
571,2855.09,-0.06
572,2860.07,-0.04
573,2865.05,-0.04
574,2870.11,-0.02
575,2875.08,-0.02
576,2880.07,-0.05
577,2885.06,-0.06
578,2890.09,-0.01
579,2895.10,-0.02
580,2900.07,-0.01
581,2905.11,-0.05
582,2910.04,-0.05
583,2915.08,-0.04
584,2920.09,-0.06
585,2925.07,-0.07
586,2930.04,0.02
587,2935.07,-0.01
588,2940.11,-0.04
589,2945.13,-0.06
590,2950.09,-0.06
591,2955.07,-0.06
592,2960.08,-0.06
593,2965.04,0.04
594,2970.09,-0.01
595,2975.06,-0.07
596,2980.09,0.07
597,2985.05,0.01
598,2990.08,-0.11
599,2995.13,0.04
600,3000.06,0.02
601,3005.07,-0.07
602,3010.08,0.04
603,3015.05,0.06
604,3020.08,-0.05
605,3025.08,0.00
606,3030.11,0.05
607,3035.07,-0.01
608,3040.09,-0.02
609,3045.06,0.04
610,3050.11,0.04
611,3055.07,-0.09
612,3060.09,0.04
613,3065.11,0.06
614,3070.05,-0.06
615,3075.09,0.05
616,3080.05,0.05
617,3085.08,-0.02
618,3090.06,0.02
619,3095.13,0.07
620,3100.06,-0.01
621,3105.13,-0.06
622,3110.05,0.02
623,3115.12,0.04
624,3120.07,-0.07
625,3125.10,0.04
626,3130.09,0.12
627,3135.08,0.01
628,3140.05,0.05
629,3145.12,0.05
630,3150.08,-0.01
631,3155.09,0.01
632,3160.05,0.05
633,3165.10,0.01
634,3170.08,0.02
635,3175.07,0.01
636,3180.09,0.07
637,3185.07,-0.02
638,3190.09,-0.06
639,3195.07,0.05
640,3200.10,-0.04
641,3205.08,-0.02
642,3210.06,0.04
643,3215.11,0.02
644,3220.08,-0.04
645,3225.04,0.01
646,3230.08,-0.01
647,3235.08,-0.02
648,3240.11,0.01
649,3245.07,-0.05
650,3250.08,0.00
651,3255.04,-0.02
652,3260.13,-0.05
653,3265.09,0.01
654,3270.10,-0.02
655,3275.08,-0.01
656,3280.07,-0.05
657,3285.08,-0.01
658,3290.08,-0.05
659,3295.04,0.00
660,3300.09,0.00
661,3305.07,-0.01
662,3310.12,-0.04
663,3315.11,0.01
664,3320.07,0.00
665,3325.09,-0.02
666,3330.08,0.04
667,3335.09,0.00
668,3340.07,-0.02
669,3345.09,0.01
670,3350.08,0.06
671,3355.10,-0.01
672,3360.05,0.01
673,3365.10,0.09
674,3370.09,0.01
675,3375.10,-0.04
676,3380.07,0.07
677,3385.08,0.01
678,3390.04,-0.05
679,3395.05,0.01
680,3400.08,0.06
681,3405.12,-0.06
682,3410.07,0.02
683,3415.11,0.02
684,3420.06,-0.09
685,3425.07,0.01
686,3430.07,0.01
687,3435.11,-0.04
688,3440.07,-0.02
689,3445.12,0.07
690,3450.07,0.06
691,3455.12,-0.05
692,3460.10,0.01
693,3465.05,0.05
694,3470.09,-0.05
695,3475.07,0.01
696,3480.04,0.07
697,3485.08,-0.01
698,3490.12,-0.01
699,3495.07,0.07
700,3500.05,0.01
701,3505.04,-0.05
702,3510.09,0.07
703,3515.08,0.07
704,3520.06,-0.02
705,3525.09,0.04
706,3530.04,0.11
707,3535.09,-0.01
708,3540.06,0.04
709,3545.05,0.09
710,3550.09,0.01
711,3555.12,0.00
712,3560.07,0.02
713,3565.05,0.05
714,3570.09,0.01
715,3575.07,0.01
716,3580.05,0.05
717,3585.12,-0.05
718,3590.07,-0.04
719,3595.04,0.07
720,3600.09,-0.02
721,3605.06,0.01
722,3610.12,0.05
723,3615.10,-0.01
724,3620.10,-0.05
725,3625.05,-0.01
726,3630.08,-0.02
727,3635.05,-0.05
728,3640.11,-0.05
729,3645.07,-0.01
730,3650.11,-0.01
731,3655.07,-0.04
732,3660.07,-0.02
733,3665.13,-0.04
734,3670.06,-0.09
735,3675.11,-0.07
736,3680.08,-0.04
737,3685.08,-0.05
738,3690.11,0.02
739,3695.06,-0.05
740,3700.12,-0.02
741,3705.06,-0.06
742,3710.10,-0.06
743,3715.06,-0.01
744,3720.08,-0.02
745,3725.12,-0.06
746,3730.04,-0.02
747,3735.07,-0.01
748,3740.05,-0.09
749,3745.12,-0.06
750,3750.09,0.00
751,3755.08,-0.01
752,3760.11,-0.01
753,3765.08,0.02
754,3770.07,-0.04
755,3775.11,-0.05
756,3780.09,-0.01
757,3785.06,-0.01
758,3790.07,-0.12
759,3795.08,0.00
760,3800.09,-0.01
761,3805.07,-0.07
762,3810.04,0.05
763,3815.04,0.04
764,3820.08,-0.07
765,3825.11,-0.04
766,3830.08,0.06
767,3835.13,0.01
768,3840.08,-0.04
769,3845.06,0.04
770,3850.11,0.06
771,3855.09,-0.05
772,3860.07,0.02
773,3865.09,0.04
774,3870.05,-0.02
775,3875.06,0.01
776,3880.10,0.06
777,3885.06,-0.02
778,3890.09,-0.01
779,3895.06,0.09
780,3900.10,0.01
781,3905.11,-0.05
782,3910.08,0.05
783,3915.11,0.02
784,3920.07,-0.06
785,3925.04,0.05
786,3930.12,0.12
787,3935.06,-0.05
788,3940.06,0.00
789,3945.12,0.05
790,3950.07,0.02
791,3955.12,0.06
792,3960.09,0.07
793,3965.06,0.05
794,3970.11,0.01
795,3975.07,-0.02
796,3980.12,0.05
797,3985.07,0.00
798,3990.11,-0.02
799,3995.09,0.06
800,4000.08,-0.05
801,4005.07,-0.05
802,4010.10,0.07
803,4015.05,-0.05
804,4020.07,-0.05
805,4025.10,-0.04
806,4030.09,-0.04
807,4035.06,-0.01
808,4040.07,-0.01
809,4045.07,-0.04
810,4050.10,-0.02
811,4055.06,0.00
812,4060.08,-0.04
813,4065.06,0.00
814,4070.09,-0.02
815,4075.07,-0.06
816,4080.10,0.00
817,4085.12,-0.01
818,4090.07,-0.02
819,4095.08,0.02
820,4100.12,0.01
821,4105.06,-0.01
822,4110.07,-0.05
823,4115.12,0.00
824,4120.08,-0.01
825,4125.08,-0.01
826,4130.08,0.02
827,4135.04,0.02
