Sample,Timestamp,Current Error
0,0.04,-0.02
1,5.04,-0.04
2,10.04,-0.02
3,15.11,0.16
4,20.04,0.27
5,25.07,0.31
6,30.09,0.13
7,35.12,0.10
8,40.08,0.13
9,45.10,0.15
10,50.06,0.15
11,55.11,0.07
12,60.11,0.07
13,65.10,0.06
14,70.08,0.06
15,75.08,0.07
16,80.09,0.05
17,85.06,0.06
18,90.05,0.07
19,95.05,0.02
20,100.11,0.02
21,105.10,0.06
22,110.09,0.02
23,115.11,0.09
24,120.08,0.07
25,125.05,0.00
26,130.05,0.01
27,135.11,0.06
28,140.11,-0.02
29,145.09,0.04
30,150.09,0.02
31,155.07,-0.04
32,160.06,0.02
33,165.05,0.04
34,170.04,-0.02
35,175.11,-0.04
36,180.12,0.02
37,185.10,0.04
38,190.10,-0.05
39,195.10,0.05
40,200.08,0.05
41,205.06,-0.02
42,210.05,0.04
43,215.10,0.04
44,220.07,-0.04
45,225.06,0.00
46,230.12,0.06
47,235.12,-0.05
48,240.11,-0.05
49,245.10,0.00
50,250.09,0.04
51,255.06,-0.05
52,260.11,0.06
53,265.11,0.04
54,270.12,-0.04
55,275.11,0.01
56,280.07,0.02
57,285.07,-0.06
58,290.12,0.00
59,295.10,0.04
60,300.08,-0.04
61,305.11,0.00
62,310.12,-0.02
63,315.11,0.02
64,320.09,-0.02
65,325.06,0.05
66,330.05,0.04
67,335.04,-0.05
68,340.11,0.02
69,345.10,0.04
70,350.08,-0.07
71,355.05,-0.01
72,360.12,0.07
73,365.11,-0.05
74,370.09,-0.02
75,375.05,0.06
76,380.04,0.00
77,385.10,0.00
78,390.07,-0.01
79,395.12,-0.01
80,400.11,-0.01
81,405.09,-0.05
82,410.06,0.02
83,415.05,-0.01
84,420.11,0.01
85,425.10,0.05
86,430.09,-0.01
87,435.06,-0.02
88,440.05,0.01
89,445.11,-0.02
90,450.11,-0.04
91,455.08,-0.02
92,460.05,-0.02
93,465.12,0.01
94,470.11,0.00
95,475.10,0.01
96,480.08,0.00
97,485.06,0.01
98,490.11,0.01
99,495.09,0.00
100,500.08,0.00
101,505.07,0.04
102,510.05,0.00
103,515.04,0.00
104,520.11,0.02
105,525.10,-0.02
106,530.08,0.01
107,535.05,0.00
108,540.11,-0.06
109,545.10,-0.01
110,550.07,0.02
111,555.05,-0.02
112,560.11,0.00
113,565.10,0.02
114,570.07,-0.02
115,575.06,-0.02
116,580.07,0.04
117,585.05,0.01
118,590.11,-0.06
119,595.06,0.02
120,600.12,0.05
121,605.11,-0.06
122,610.11,0.02
123,615.11,0.07
124,620.10,-0.02
125,625.08,0.01
126,630.07,0.05
127,635.05,-0.02
128,640.12,-0.04
129,645.08,0.05
130,650.05,0.01
131,655.05,0.00
132,660.12,0.02
133,665.10,0.02
134,670.09,-0.07
135,675.06,0.00
136,680.05,0.05
137,685.11,-0.06
138,690.10,-0.02
139,695.08,0.04
140,700.07,-0.07
141,705.11,-0.04
142,710.08,0.05
143,715.06,0.00
144,720.12,-0.06
145,725.11,0.00
146,730.09,0.05
147,735.08,-0.02
148,740.12,0.01
149,745.10,0.06
150,750.09,-0.04
151,755.08,-0.02
152,760.05,0.06
153,765.11,0.00
154,770.09,-0.01
155,775.04,0.05
156,780.12,0.01
157,785.10,-0.05
158,790.07,0.02
159,795.07,0.01
160,800.12,-0.04
161,805.09,-0.02
162,810.08,0.05
163,815.06,0.00
164,820.12,0.01
165,825.11,0.02
166,830.08,-0.04
167,835.06,0.02
168,840.10,0.00
169,845.09,-0.02
170,850.07,0.04
171,855.05,-0.04
172,860.05,0.01
173,865.12,0.01
174,870.10,0.01
175,875.09,0.01
176,880.06,0.00
177,885.11,-0.01
178,890.07,0.01
179,895.07,-0.02
180,900.06,0.01
181,905.13,0.02
182,910.11,-0.04
183,915.08,0.07
184,920.07,0.00
185,925.11,-0.07
186,930.10,0.05
187,935.10,0.04
188,940.08,0.00
189,945.05,0.02
190,950.05,0.02
191,955.10,-0.01
192,960.09,0.05
193,965.06,0.02
194,970.13,0.02
195,975.10,0.00
196,980.09,0.00
197,985.07,0.04
198,990.06,-0.06
199,995.13,0.02
200,1000.11,0.04
201,1005.10,-0.06
202,1010.06,0.05
203,1015.04,0.05
204,1020.13,-0.06
205,1025.09,-0.04
206,1030.06,0.06
207,1035.12,-0.01
208,1040.09,-0.04
209,1045.08,0.02
210,1050.07,-0.01
211,1055.07,-0.07
212,1060.06,0.01
213,1065.04,0.02
214,1070.13,-0.06
215,1075.04,0.01
216,1080.11,0.05
217,1085.09,-0.05
218,1090.06,-0.01
219,1095.11,0.04
220,1100.10,0.00
221,1105.07,-0.01
222,1110.06,0.01
223,1115.04,0.00
224,1120.11,-0.01
225,1125.11,0.04
226,1130.09,0.01
227,1135.09,-0.02
228,1140.08,0.01
229,1145.07,0.06
230,1150.05,-0.02
231,1155.12,0.00
232,1160.11,0.04
233,1165.10,-0.05
234,1170.08,0.00
235,1175.05,0.09
236,1180.12,0.00
237,1185.11,-0.01
238,1190.10,-0.04
239,1195.09,0.01
240,1200.08,-0.01
241,1205.07,-0.01
242,1210.12,0.04
243,1215.09,-0.01
244,1220.06,0.00
245,1225.13,0.05
246,1230.09,-0.02
247,1235.08,-0.04
248,1240.11,0.00
249,1245.10,-0.04
250,1250.10,0.00
251,1255.09,0.00
252,1260.07,0.00
253,1265.11,-0.04
254,1270.06,-0.02
255,1275.12,-0.04
256,1280.10,-0.01
257,1285.09,0.00
258,1290.07,-0.02
259,1295.05,-0.04
260,1300.11,-0.01
261,1305.11,0.01
262,1310.10,-0.02
263,1315.09,0.00
264,1320.04,0.04
265,1325.06,-0.02
266,1330.09,0.02
267,1335.09,-0.01
268,1340.08,-0.02
269,1345.05,0.05
270,1350.11,0.04
271,1355.12,-0.02
272,1360.11,0.02
273,1365.09,0.02
274,1370.08,-0.04
275,1375.05,-0.05
276,1380.11,0.05
277,1385.10,-0.01
278,1390.09,-0.05
279,1395.08,0.01
280,1400.07,0.00
281,1405.06,-0.04
282,1410.11,0.02
283,1415.10,0.06
284,1420.06,-0.05
285,1425.05,0.02
286,1430.10,0.02
287,1435.06,-0.02
288,1440.05,-0.05
289,1445.11,0.06
290,1450.07,0.00
291,1455.05,-0.05
292,1460.13,0.01
293,1465.11,0.07
294,1470.10,-0.06
295,1475.06,0.00
296,1480.04,0.04
297,1485.04,-0.10
298,1490.11,0.01
299,1495.04,0.04
300,1500.11,-0.01
301,1505.11,0.02
302,1510.11,0.04
303,1515.10,0.02
304,1520.08,-0.04
305,1525.11,-0.01
306,1530.10,0.01
307,1535.10,-0.02
308,1540.08,0.00
309,1545.07,0.07
310,1550.05,-0.06
311,1555.12,-0.02
312,1560.10,0.09
313,1565.13,-0.04
314,1570.11,-0.01
315,1575.10,0.00
316,1580.05,0.00
317,1585.13,-0.02
318,1590.10,-0.01
319,1595.08,0.00
320,1600.05,0.00
321,1605.04,-0.06
