Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
0,0.04,-0.01,15.1,0
1,0.56,-0.01,19.7,0
2,1.09,0.00,20.1,0
3,1.60,-0.05,13.1,0
4,2.12,-0.09,17.5,0
5,2.56,-0.11,15.7,0
6,3.08,-0.11,22.0,0
7,3.58,-0.15,16.3,0
8,4.09,-0.15,17.6,0
9,4.60,-0.11,24.9,0
10,5.12,-0.11,25.1,0
11,5.55,-0.13,23.0,0
12,6.06,-0.15,21.1,0
13,6.59,-0.09,31.7,0
14,7.10,-0.09,25.8,0
15,7.62,-0.06,32.7,0
16,8.05,-0.07,33.3,0
17,8.57,-0.02,33.7,0
18,9.08,-0.04,32.2,0
19,9.59,-0.01,36.4,0
20,10.11,0.02,39.2,0
21,10.62,-0.01,37.2,0
22,11.05,0.01,35.1,0
23,11.57,0.00,34.2,0
24,12.09,0.01,37.2,0
25,12.60,0.00,37.3,0
26,13.13,0.05,47.3,0
27,13.56,0.01,41.3,0
28,14.07,0.00,37.0,0
29,14.59,-0.02,45.1,0
30,15.10,-0.05,41.3,0
31,15.63,-0.05,47.7,0
32,16.05,-0.01,45.3,0
33,16.57,-0.09,38.1,0
34,17.09,-0.11,38.2,0
35,17.61,-0.15,38.4,0
36,18.12,-0.21,35.1,0
37,18.55,-0.22,41.4,0
38,19.07,-0.23,41.8,0
39,19.59,-0.23,44.4,0
40,20.10,-0.28,40.4,0
41,20.61,-0.28,45.6,0
42,21.04,-0.31,41.7,0
43,21.56,-0.37,36.1,0
44,22.07,-0.35,42.2,0
45,22.59,-0.42,32.4,0
46,23.11,-0.42,43.0,0
47,23.54,-0.45,42.7,0
48,24.05,-0.44,41.3,0
49,24.57,-0.52,39.0,0
50,25.09,-0.51,40.2,0
51,25.60,-0.51,39.3,0
52,26.12,-0.56,41.7,0
53,26.55,-0.56,39.0,0
54,27.07,-0.60,38.4,0
55,27.59,-0.61,41.2,0
56,28.10,-0.60,40.3,0
57,28.62,-0.63,38.2,0
58,29.05,-0.61,46.2,0
59,29.57,-0.68,40.2,0
60,30.08,-0.66,38.0,0
61,30.60,-0.66,43.8,0
62,31.12,-0.67,47.5,0
63,31.55,-0.67,9.5,0
64,32.07,-0.68,11.4,0
65,32.58,-0.66,14.5,0
66,33.10,-0.59,19.0,0
67,33.62,-0.51,27.9,0
68,34.05,-0.54,19.0,0
69,34.57,-0.46,28.0,0
70,35.09,-0.42,26.5,0
71,35.61,-0.37,28.6,0
72,36.12,-0.28,32.1,0
73,36.55,-0.31,26.7,0
74,37.06,-0.24,26.8,0
75,37.58,-0.18,30.3,0
76,38.09,-0.16,31.0,0
77,38.61,-0.12,32.0,0
78,39.05,-0.13,30.5,0
79,39.57,-0.07,34.0,0
80,40.08,-0.07,30.6,0
81,40.60,-0.05,32.9,0
82,41.11,-0.02,37.2,0
83,41.55,-0.09,24.7,0
84,42.06,-0.02,30.1,0
85,42.58,0.05,38.5,0
86,43.09,0.06,37.2,0
87,43.61,0.02,32.5,0
88,44.04,0.09,41.5,0
89,44.56,0.07,33.2,0
90,45.08,0.11,38.7,0
91,45.60,0.09,33.6,0
92,46.11,0.12,37.5,0
93,46.54,0.12,38.2,0
94,47.06,0.10,33.2,0
95,47.58,0.11,37.2,0
96,48.09,0.09,31.2,0
97,48.61,0.02,29.4,0
98,49.04,0.05,30.2,0
99,49.56,0.02,29.6,0
100,50.07,0.01,30.9,0
101,50.59,-0.07,25.7,0
102,51.10,-0.10,24.0,0
103,51.61,-0.10,27.5,0
104,52.12,-0.16,23.8,0
105,52.55,-0.18,22.8,0
106,53.07,-0.20,21.7,0
107,53.58,-0.23,19.5,0
108,54.09,-0.24,21.8,0
109,54.61,-0.24,19.0,0
110,55.12,-0.28,18.7,0
111,55.54,-0.27,21.6,0
112,56.05,-0.29,18.8,0
113,56.57,-0.23,26.7,0
114,57.08,-0.24,20.2,0
115,57.59,-0.21,24.7,0
116,58.10,-0.17,27.4,0
117,58.61,-0.16,26.9,0
118,59.04,-0.13,28.5,0
119,59.54,-0.13,25.7,0
120,60.05,-0.11,30.8,0
121,60.56,-0.11,25.4,0
122,61.08,-0.09,30.4,0
123,61.59,-0.07,26.5,0
124,62.10,-0.06,27.6,0
125,62.61,-0.01,31.8,0
126,63.13,-0.04,30.0,0
127,63.55,-0.01,31.8,0
128,64.06,-0.04,28.3,0
129,64.57,0.00,29.4,0
130,65.08,0.01,30.7,0
131,65.60,-0.01,28.1,0
132,66.11,-0.01,29.9,0
133,66.62,-0.02,27.7,0
134,67.05,-0.01,31.6,0
135,67.56,-0.01,30.0,0
136,68.07,-0.05,22.5,0
137,68.59,-0.02,30.4,0
138,69.10,-0.02,25.9,0
139,69.61,-0.01,29.0,0
140,70.12,-0.01,28.0,0
141,70.55,-0.07,26.9,0
142,71.07,-0.07,22.6,0
143,71.58,-0.07,24.4,0
144,72.09,-0.10,22.6,0
145,72.60,-0.06,29.1,0
146,73.11,-0.07,25.2,0
147,73.54,-0.10,23.4,0
148,74.05,-0.11,23.9,0
149,74.57,-0.11,27.3,0
150,75.07,-0.12,22.6,0
