Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
0,0.04,0.01,18.7,0
1,0.56,-0.01,16.1,0
2,1.08,-0.05,17.9,0
3,1.59,-0.04,17.2,0
4,2.11,-0.06,14.5,0
5,2.54,-0.09,16.5,0
6,3.05,-0.11,14.5,0
7,3.57,-0.10,21.0,0
8,4.09,-0.12,23.4,0
9,4.59,-0.15,20.9,0
10,5.12,-0.11,28.9,0
11,5.55,-0.12,26.4,0
12,6.06,-0.12,24.2,0
13,6.58,-0.06,32.2,0
14,7.08,-0.12,20.2,0
15,7.59,-0.06,30.1,0
16,8.11,-0.02,37.4,0
17,8.54,-0.04,33.9,0
18,9.06,-0.05,32.9,0
19,9.58,-0.06,33.5,0
20,10.09,-0.02,32.8,0
21,10.61,0.01,41.9,0
22,11.12,-0.04,32.1,0
23,11.55,-0.01,33.8,0
24,12.07,-0.01,36.4,0
25,12.59,-0.02,34.3,0
26,13.10,0.05,47.1,0
27,13.62,0.01,43.2,0
28,14.04,0.00,45.4,0
29,14.56,-0.01,44.6,0
30,15.08,-0.01,45.5,0
31,15.59,-0.04,40.8,0
32,16.11,-0.07,40.0,0
33,16.63,-0.10,39.8,0
34,17.06,-0.11,39.1,0
35,17.57,-0.15,34.8,0
36,18.09,-0.18,35.8,0
37,18.61,-0.17,42.3,0
38,19.04,-0.23,41.3,0
39,19.56,-0.22,49.5,0
40,20.07,-0.28,38.5,0
41,20.59,-0.31,40.5,0
42,21.11,-0.32,39.2,0
43,21.62,-0.38,37.0,0
44,22.05,-0.38,43.0,0
45,22.56,-0.40,38.4,0
46,23.07,-0.48,33.8,0
47,23.59,-0.46,37.6,0
48,24.10,-0.52,39.9,0
49,24.62,-0.49,38.1,0
50,25.05,-0.49,46.0,0
51,25.57,-0.52,43.1,0
52,26.09,-0.59,36.8,0
53,26.60,-0.62,39.4,0
54,27.12,-0.61,40.5,0
55,27.55,-0.57,38.9,0
56,28.07,-0.59,42.5,0
57,28.58,-0.62,39.4,0
58,29.09,-0.63,44.6,0
59,29.62,-0.67,43.2,0
60,30.04,-0.66,42.3,0
61,30.56,-0.66,46.3,0
62,31.07,-0.65,48.2,0
63,31.60,-0.62,20.6,0
64,32.11,-0.66,14.9,0
65,32.54,-0.65,15.0,0
66,33.06,-0.60,19.7,0
67,33.58,-0.55,21.8,0
68,34.08,-0.51,23.5,0
69,34.60,-0.44,28.9,0
70,35.12,-0.43,23.6,0
71,35.55,-0.37,28.0,0
72,36.06,-0.32,28.5,0
73,36.58,-0.29,27.2,0
74,37.09,-0.26,24.8,0
75,37.61,-0.20,28.2,0
76,38.12,-0.15,33.2,0
77,38.55,-0.13,31.5,0
78,39.07,-0.13,29.7,0
79,39.59,-0.11,30.4,0
80,40.09,-0.09,31.1,0
81,40.61,-0.05,32.2,0
82,41.04,-0.04,34.4,0
83,41.56,-0.02,32.1,0
84,42.07,-0.01,30.7,0
85,42.59,0.06,38.3,0
86,43.11,0.05,35.1,0
87,43.54,0.02,34.4,0
88,44.05,0.06,36.5,0
89,44.57,0.05,35.1,0
90,45.08,0.09,37.1,0
91,45.60,0.07,34.4,0
92,46.11,0.09,31.1,0
93,46.54,0.10,36.9,0
94,47.06,0.09,32.1,0
95,47.58,0.09,33.0,0
96,48.08,0.11,35.5,0
97,48.60,0.10,34.3,0
98,49.12,0.07,38.9,0
99,49.55,0.00,24.5,0
100,50.06,-0.02,25.4,0
101,50.58,-0.04,28.7,0
102,51.09,-0.10,23.9,0
103,51.60,-0.10,26.8,0
104,52.11,-0.15,23.3,0
105,52.62,-0.16,24.8,0
106,53.05,-0.16,23.0,0
107,53.56,-0.18,23.9,0
108,54.07,-0.22,24.4,0
109,54.59,-0.24,20.1,0
110,55.09,-0.21,27.3,0
111,55.60,-0.21,28.0,0
112,56.11,-0.24,22.4,0
113,56.62,-0.27,22.3,0
114,57.04,-0.22,24.7,0
115,57.55,-0.18,30.2,0
116,58.06,-0.22,22.7,0
117,58.57,-0.20,23.4,0
118,59.08,-0.15,25.6,0
119,59.59,-0.13,25.9,0
120,60.10,-0.11,30.1,0
121,60.61,-0.07,34.7,0
122,61.04,-0.06,32.4,0
123,61.55,-0.07,27.5,0
124,62.07,-0.04,31.2,0
125,62.58,-0.09,25.2,0
126,63.09,-0.09,28.0,0
127,63.60,-0.05,30.7,0
128,64.11,-0.01,31.9,0
129,64.62,0.01,30.9,0
130,65.05,-0.01,30.0,0
131,65.56,0.00,32.1,0
132,66.07,-0.04,27.5,0
133,66.59,-0.02,27.0,0
134,67.09,-0.01,29.2,0
135,67.60,-0.01,30.1,0
136,68.11,0.00,31.3,0
137,68.62,-0.02,27.9,0
138,69.04,-0.02,30.5,0
139,69.55,-0.05,29.7,0
140,70.07,-0.04,29.2,0
141,70.58,-0.05,26.2,0
142,71.09,-0.05,29.6,0
143,71.59,-0.07,23.6,0
144,72.10,-0.04,29.1,0
145,72.61,-0.07,24.5,0
146,73.04,-0.09,25.0,0
147,73.55,-0.07,28.9,0
148,74.06,-0.04,32.5,0
149,74.58,-0.09,25.6,0
150,75.08,-0.07,27.0,0
151,75.59,-0.11,25.6,0
152,76.10,-0.13,25.9,0
153,76.61,-0.12,22.7,0
154,77.05,-0.11,24.6,0
155,77.56,-0.17,19.1,0
156,78.07,-0.12,26.9,0
157,78.58,-0.16,23.1,0
158,79.09,-0.13,25.4,0
159,79.61,-0.11,28.0,0
160,80.12,-0.15,24.1,0
161,80.54,-0.11,28.7,0
162,81.06,-0.11,26.9,0
163,81.57,-0.09,28.5,0
164,82.08,-0.15,22.1,0
165,82.59,-0.09,27.4,0
166,83.11,-0.11,26.5,0
167,83.62,-0.09,24.7,0
168,84.05,-0.10,26.8,0
169,84.57,-0.09,28.8,0
170,85.08,-0.09,26.3,0
171,85.59,-0.09,27.2,0
172,86.10,-0.09,27.0,0
173,86.62,-0.09,27.7,0
174,87.05,-0.10,26.5,0
175,87.55,-0.09,27.8,0
176,88.07,-0.07,25.5,0
177,88.58,-0.10,22.0,0
178,89.09,-0.12,22.0,0
179,89.60,-0.11,23.3,0
180,90.11,-0.06,25.7,0
181,90.62,-0.05,25.2,0
182,91.05,-0.07,22.6,0
183,91.56,-0.09,28.5,0
184,92.08,-0.05,27.6,0
185,92.59,-0.09,22.1,0
186,93.10,-0.06,24.6,0
187,93.61,-0.10,21.7,0
188,94.04,-0.07,28.5,0
189,94.55,-0.12,20.7,0
190,95.07,-0.06,28.9,0
191,95.58,-0.07,26.8,0
192,96.09,-0.10,24.9,0
193,96.61,-0.07,24.9,0
