Sample,Timestamp,Current Error,PID Control Signal
220,220.10,0.00,12.9
221,221.12,0.04,16.8
222,222.04,0.06,18.8
223,223.05,0.04,16.1
224,224.07,0.00,11.4
225,225.08,-0.04,11.9
226,226.10,-0.06,11.1
227,227.12,-0.02,14.9
228,228.06,-0.06,11.0
229,229.07,-0.04,16.6
230,230.08,-0.04,16.1
231,231.09,-0.02,13.7
232,232.10,0.02,18.9
233,233.12,0.05,20.7
234,234.06,0.04,13.9
235,235.07,0.02,13.2
236,236.09,0.06,20.3
237,237.11,0.00,11.6
238,238.05,-0.05,10.2
239,239.06,-0.02,13.8
240,240.05,-0.06,7.3
241,241.06,-0.07,7.3
242,242.08,-0.06,11.7
243,243.10,-0.04,13.5
244,244.11,0.01,18.3
245,245.05,0.00,14.9
246,246.06,0.04,15.2
247,247.08,0.06,15.3
248,248.10,0.04,13.9
249,249.04,0.01,11.7
250,250.06,0.01,15.7
251,251.06,-0.05,7.3
252,252.08,-0.01,16.9
253,253.11,-0.10,7.5
254,254.12,-0.09,9.9
255,255.05,-0.09,12.9
256,256.05,-0.04,12.9
257,257.06,0.00,13.9
258,258.06,-0.01,10.9
259,259.08,0.07,18.8
260,260.10,0.00,6.2
261,261.12,0.02,13.1
262,262.05,0.01,10.7
263,263.06,-0.01,12.0
264,264.07,-0.05,10.0
265,265.08,-0.01,16.0
266,266.10,-0.05,11.1
267,267.04,-0.10,7.2
268,268.05,-0.07,9.2
269,269.07,-0.01,18.2
270,270.09,0.00,16.5
271,271.12,0.05,16.5
272,272.06,0.07,18.4
273,273.07,0.04,15.1
274,274.09,0.02,9.4
275,275.10,0.04,12.5
276,276.12,0.00,12.3
277,277.04,-0.02,11.5
278,278.12,-0.07,6.3
279,279.04,-0.07,11.9
280,280.06,-0.06,10.5
281,281.06,-0.05,14.2
282,282.07,-0.01,16.4
283,283.10,-0.02,12.1
284,284.12,0.02,16.0
285,285.06,0.05,17.1
286,286.07,0.04,15.2
287,287.09,0.02,10.3
288,288.11,-0.02,7.7
289,289.10,-0.01,11.4
290,290.11,-0.05,8.0
291,291.05,-0.02,15.3
292,292.06,-0.09,8.7
293,293.08,-0.07,10.3
294,294.10,-0.02,18.4
295,295.11,-0.02,13.8
296,296.05,-0.01,12.3
297,297.06,0.04,15.6
298,298.08,0.06,16.7
299,299.10,0.09,18.9
300,300.11,0.07,20.6
301,301.05,0.01,12.0
302,302.07,0.04,18.4
303,303.09,-0.04,9.0
304,304.12,-0.06,7.1
305,305.04,-0.10,9.3
306,306.04,-0.05,16.0
307,307.07,-0.07,11.3
308,308.08,-0.01,14.0
309,309.09,-0.02,12.0
310,310.09,0.02,12.4
311,311.12,0.05,14.7
312,312.05,0.05,12.7
313,313.07,0.04,13.3
314,314.10,-0.01,10.5
315,315.11,0.00,16.2
316,316.04,-0.05,8.5
317,317.06,-0.10,6.0
318,318.06,-0.07,8.5
319,319.09,-0.11,6.7
320,320.10,-0.02,16.4
321,321.10,-0.02,13.7
322,322.11,0.05,14.6
323,323.05,0.02,14.3
324,324.07,0.09,18.9
325,325.08,0.07,18.5
326,326.10,0.02,11.7
327,327.11,0.02,14.1
328,328.12,0.02,18.0
329,329.06,-0.01,13.1
330,330.07,-0.09,6.5
331,331.08,-0.05,11.0
332,332.10,-0.11,5.5
333,333.11,-0.02,13.4
334,334.11,-0.01,13.8
335,335.13,0.05,20.5
336,336.07,0.06,16.0
337,337.07,0.06,14.2
338,338.09,0.04,9.7
339,339.10,0.05,10.9
340,340.12,0.02,14.1
341,341.06,0.05,19.5
342,342.08,-0.01,11.5
343,343.10,-0.05,11.3
344,344.10,-0.05,10.1
345,345.11,-0.09,9.4
346,346.12,-0.06,11.4
347,347.12,-0.05,10.5
348,348.05,0.04,17.8
349,349.06,0.07,19.0
350,350.06,0.05,13.0
351,351.09,0.05,16.8
352,352.10,0.04,11.7
353,353.04,0.01,14.7
354,354.06,-0.01,10.5
355,355.06,-0.06,9.0
356,356.08,-0.09,7.8
357,357.10,-0.05,14.2
358,358.11,-0.10,7.5
359,359.04,-0.02,19.8
360,360.05,0.04,18.5
361,361.07,0.05,20.2
362,362.09,0.06,15.6
363,363.10,0.09,17.6
364,364.10,0.09,15.6
365,365.04,0.04,14.2
366,366.06,0.06,18.5
367,367.07,0.01,10.1
368,368.08,-0.01,10.5
369,369.08,-0.02,12.7
370,370.10,-0.07,8.4
371,371.11,-0.04,12.2
372,372.05,-0.04,13.9
373,373.07,0.04,18.1
374,374.09,0.02,13.1
375,375.11,0.04,14.4
376,376.12,0.04,11.7
377,377.05,0.04,14.3
378,378.07,0.01,12.2
379,379.08,-0.01,5.7
380,380.11,-0.01,9.9
381,381.05,-0.05,7.2
382,382.06,-0.06,7.9
383,383.07,-0.07,9.0
384,384.09,-0.09,9.7
385,385.08,-0.04,14.6
386,386.09,0.04,18.1
387,387.12,0.05,17.3
388,388.05,0.06,16.0
389,389.07,0.02,11.5
390,390.08,0.05,17.2
391,391.11,0.01,11.9
392,392.04,-0.01,8.6
393,393.06,0.02,13.4
