Sample,Timestamp,Current Error,PID Control Signal
211,52.67,0.28,-33.0
212,52.93,0.29,-29.5
213,53.20,0.29,-24.1
214,53.45,0.29,-24.9
215,53.71,0.31,-25.8
216,53.97,0.33,-18.7
217,54.23,0.28,-30.4
218,54.41,0.32,-27.4
219,54.67,0.34,-26.6
220,54.93,0.33,-21.6
221,55.19,0.32,-26.3
222,55.45,0.33,-25.8
223,55.71,0.31,-28.2
224,55.97,0.33,-24.8
225,56.14,0.29,-29.8
226,56.41,0.31,-25.4
227,56.67,0.29,-34.9
228,56.93,0.29,-24.2
229,57.19,0.27,-29.8
230,57.45,0.29,-28.1
231,57.71,0.31,-26.3
232,57.89,0.26,-27.3
233,58.15,0.28,-29.1
234,58.40,0.24,-29.8
235,58.67,0.27,-31.6
236,58.93,0.26,-28.8
237,59.18,0.26,-26.5
238,59.44,0.23,-30.3
239,59.71,0.22,-34.6
240,59.96,0.23,-27.9
241,60.14,0.22,-31.8
242,60.40,0.22,-25.5
243,60.67,0.22,-34.4
244,60.93,0.21,-24.9
245,61.19,0.21,-26.2
246,61.44,0.22,-24.9
247,61.70,0.20,-31.8
248,61.88,0.23,-25.8
249,62.13,0.26,-25.4
250,62.39,0.22,-24.7
251,62.65,0.23,-23.8
252,62.91,0.21,-32.0
253,63.17,0.26,-24.3
254,63.44,0.22,-25.8
255,63.69,0.22,-19.0
256,63.95,0.23,-25.3
257,64.12,0.28,-21.1
258,64.38,0.28,-21.1
259,64.65,0.26,-25.7
260,64.91,0.26,-29.2
261,65.16,0.24,-25.5
262,65.42,0.26,-24.2
263,65.68,0.27,-22.8
264,65.93,0.29,-21.1
265,66.19,0.29,-18.4
266,66.37,0.27,-26.6
267,66.64,0.31,-21.9
268,66.90,0.31,-24.5
269,67.16,0.29,-23.0
270,67.42,0.29,-22.0
271,67.68,0.27,-26.7
272,67.93,0.31,-20.2
273,68.11,0.28,-25.3
274,68.37,0.31,-21.0
275,68.63,0.26,-27.2
276,68.89,0.31,-23.0
277,69.15,0.31,-23.9
278,69.41,0.27,-21.8
279,69.68,0.27,-30.6
280,69.94,0.27,-24.7
