Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
191,95.57,0.00,41.8,0
192,96.08,-0.01,40.5,0
193,96.60,-0.04,40.6,0
194,97.11,0.00,39.2,0
195,97.62,-0.04,37.1,0
196,98.05,-0.06,35.3,0
197,98.56,-0.06,38.0,0
198,99.08,-0.04,40.5,0
199,99.59,-0.02,41.7,0
200,100.10,-0.01,41.3,0
201,100.61,0.00,43.5,0
202,101.04,-0.01,43.1,0
203,101.55,-0.01,37.8,0
204,102.06,-0.01,39.5,0
205,102.58,-0.02,40.8,0
206,103.09,0.00,43.4,0
207,103.60,0.01,41.2,0
208,104.11,-0.04,36.0,0
209,104.54,0.00,37.2,0
210,105.05,0.01,43.7,0
211,105.55,0.02,41.6,0
212,106.07,0.02,38.8,0
213,106.58,0.02,38.8,0
214,107.10,0.01,42.8,0
215,107.61,0.04,47.2,0
216,108.12,0.04,44.5,0
217,108.55,0.01,40.3,0
218,109.05,0.00,38.2,0
219,109.57,0.04,42.9,0
220,110.08,0.05,44.1,0
221,110.59,0.02,42.3,0
222,111.11,-0.01,36.9,0
223,111.56,0.02,42.5,0
224,112.06,0.04,44.5,0
225,112.57,-0.02,36.6,0
226,113.09,0.04,48.9,0
227,113.59,-0.01,40.5,0
228,114.10,0.00,39.9,0
229,114.61,0.01,43.1,0
230,115.04,-0.01,40.5,0
231,115.55,-0.02,37.4,0
232,116.07,-0.01,42.2,0
233,116.58,-0.01,36.8,0
234,117.09,0.04,45.6,0
235,117.60,0.01,43.0,0
236,118.11,-0.01,37.8,0
237,118.62,0.00,40.9,0
238,119.05,0.00,39.1,0
239,119.56,0.01,42.1,0
240,120.07,-0.05,33.9,0
241,120.59,0.00,44.2,0
242,121.10,0.01,40.2,0
243,121.62,-0.02,36.5,0
244,122.04,-0.02,39.9,0
245,122.56,0.02,45.8,0
246,123.06,-0.02,42.5,0
247,123.57,-0.02,39.2,0
248,124.08,0.04,44.6,0
249,124.59,-0.04,33.4,0
250,125.10,-0.01,38.5,0
251,125.61,-0.01,36.9,0
252,126.04,0.01,41.1,0
253,126.55,0.00,36.3,0
254,127.05,0.01,36.7,0
255,127.56,0.05,41.5,0
256,128.08,0.01,37.5,0
257,128.59,0.05,45.8,0
258,129.10,0.00,36.4,0
259,129.61,0.00,39.1,0
260,130.04,0.05,42.3,0
261,130.55,0.01,39.5,0
262,131.06,0.01,40.2,0
263,131.57,0.01,40.4,0
264,132.08,0.01,40.4,0
265,132.60,0.05,45.1,0
266,133.11,0.04,44.6,0
267,133.63,-0.01,42.1,0
268,134.05,0.04,43.7,0
269,134.57,0.02,41.7,0
270,135.08,0.01,40.4,0
271,135.59,0.06,43.8,0
272,136.10,0.04,43.8,0
273,136.61,0.02,41.8,0
274,137.12,0.06,44.7,0
275,137.55,0.02,41.8,0
276,138.06,0.00,38.3,0
277,138.57,0.02,45.2,0
278,139.08,0.01,37.8,0
279,139.60,0.00,39.3,0
280,140.11,-0.02,36.8,0
281,140.62,-0.01,38.8,0
282,141.04,0.00,39.3,0
283,141.56,0.01,42.2,0
284,142.07,0.02,40.9,0
285,142.58,0.04,44.0,0
286,143.10,0.02,42.7,0
287,143.61,0.01,38.8,0
288,144.12,-0.01,38.0,0
289,144.55,0.00,39.3,0
290,145.06,0.02,45.2,0
291,145.56,0.02,41.0,0
292,146.07,0.04,43.1,0
293,146.59,0.01,44.2,0
294,147.11,-0.02,37.6,0
295,147.62,-0.04,38.9,0
296,148.05,0.00,43.7,0
297,148.56,-0.04,38.2,0
298,149.07,-0.02,37.7,0
299,149.57,-0.04,36.4,0
300,150.09,-0.02,43.8,0
301,150.60,-0.01,43.2,0
302,151.11,-0.05,33.3,0
303,151.62,-0.02,41.2,0
304,152.05,-0.02,41.1,0
305,152.56,-0.05,34.2,0
306,153.07,-0.04,40.5,0
307,153.58,0.00,41.0,0
308,154.09,0.00,41.0,0
309,154.61,-0.04,37.2,0
310,155.12,-0.01,43.9,0
311,155.55,-0.04,38.1,0
312,156.06,-0.02,37.5,0
313,156.57,0.00,44.5,0
314,157.08,0.01,42.1,0
315,157.60,-0.02,40.2,0
316,158.10,-0.01,41.3,0
317,158.62,-0.02,38.3,0
318,159.05,-0.02,38.3,0
319,159.56,-0.01,38.8,0
320,160.07,-0.01,38.7,0
321,160.59,0.00,39.1,0
322,161.10,-0.05,32.3,0
323,161.61,0.00,42.7,0
324,162.12,-0.01,41.3,0
325,162.55,0.02,46.8,0
326,163.06,-0.05,33.9,0
327,163.57,-0.01,41.2,0
328,164.08,-0.04,37.9,0
329,164.59,0.00,39.1,0
330,165.11,0.04,42.8,0
331,165.62,0.00,39.9,0
332,166.04,-0.02,39.1,0
333,166.55,0.00,39.9,0
334,167.07,0.02,45.0,0
335,167.57,0.02,41.6,0
336,168.09,0.04,44.6,0
337,168.61,0.01,41.9,0
338,169.05,0.02,42.3,0
339,169.56,0.05,41.4,0
340,170.08,0.02,42.4,0
341,170.60,0.04,41.8,0
342,171.11,0.00,37.3,0
343,171.55,0.00,40.0,0
344,172.06,0.01,42.1,0
345,172.58,0.02,41.7,0
346,173.10,0.00,41.7,0
347,173.62,-0.04,37.8,0
348,174.05,-0.02,40.9,0
349,174.56,-0.01,43.0,0
350,175.08,0.02,45.8,0
351,175.60,-0.01,41.2,0
352,176.11,-0.01,39.6,0
353,176.55,-0.02,37.4,0
354,177.05,0.01,46.4,0
355,177.57,-0.02,40.8,0
356,178.09,0.00,43.4,0
357,178.60,-0.06,37.0,0
358,179.12,-0.05,41.8,0
359,179.55,-0.05,41.8,0
360,180.06,-0.04,43.0,0
361,180.57,-0.05,38.3,0
362,181.09,-0.05,37.4,0
363,181.61,-0.04,38.6,0
364,182.12,0.00,39.7,0
365,182.56,-0.04,38.4,0
366,183.06,-0.04,37.6,0
367,183.58,-0.02,41.5,0
368,184.09,0.00,42.3,0
369,184.61,0.01,45.2,0
370,185.04,-0.01,38.4,0
371,185.56,-0.04,36.8,0
372,186.07,-0.04,35.9,0
373,186.59,0.02,42.2,0
374,187.11,0.00,44.8,0
375,187.54,0.01,42.6,0
376,188.05,-0.02,40.6,0
377,188.56,-0.02,37.9,0
378,189.08,0.04,41.6,0
379,189.60,0.00,38.8,0
380,190.11,-0.05,31.9,0
381,190.55,0.00,42.3,0
382,191.05,0.00,38.8,0
383,191.57,-0.02,37.0,0
384,192.08,0.02,42.2,0
385,192.60,-0.04,35.8,0
386,193.12,0.02,42.9,0
387,193.55,0.01,39.1,0
388,194.06,0.00,37.9,0
