Sample,Timestamp,Current Error,PID Control Signal
226,376.76,0.72,101.6
227,378.43,0.72,102.5
228,380.09,0.71,101.2
229,381.75,0.71,100.3
230,383.38,0.70,98.1
231,385.11,0.72,102.5
232,386.77,0.71,99.4
233,388.45,0.72,100.7
234,390.11,0.71,103.1
235,391.76,0.76,107.3
236,393.43,0.74,102.3
237,395.11,0.73,102.0
238,396.76,0.74,105.1
239,398.41,0.70,99.1
240,400.07,0.73,102.9
241,401.73,0.73,103.8
242,403.40,0.70,98.1
243,405.04,0.73,102.0
244,406.78,0.71,100.3
245,408.43,0.72,98.8
246,410.10,0.72,100.7
247,411.76,0.77,108.7
248,413.42,0.71,99.4
249,415.09,0.72,99.8
250,416.76,0.72,102.5
251,418.41,0.72,99.8
252,420.06,0.73,102.9
253,421.79,0.72,102.6
254,423.45,0.72,100.7
255,425.10,0.71,101.2
256,426.75,0.68,97.7
257,428.42,0.71,98.5
258,430.09,0.70,99.1
259,431.74,0.71,100.3
260,433.38,0.71,101.2
261,435.12,0.73,102.0
262,436.77,0.71,99.4
263,438.44,0.74,104.2
264,440.10,0.74,104.2
265,441.77,0.71,101.2
266,443.45,0.74,103.2
267,445.12,0.72,102.5
268,446.77,0.72,102.6
269,448.44,0.72,101.6
270,450.10,0.73,102.0
271,451.76,0.70,99.9
272,453.41,0.67,95.6
273,455.09,0.74,104.2
274,456.74,0.72,101.6
275,458.40,0.74,106.9
276,460.08,0.71,101.2
277,461.72,0.72,103.5
278,463.45,0.71,101.2
279,465.11,0.76,108.2
280,466.77,0.70,100.9
281,468.43,0.71,100.3
282,470.10,0.71,99.4
283,471.76,0.73,103.8
284,473.40,0.70,99.9
285,475.06,0.74,103.2
286,476.74,0.73,104.8
287,478.40,0.70,99.1
288,480.04,0.71,98.4
289,481.78,0.73,102.9
290,483.44,0.72,102.5
291,485.09,0.73,103.8
292,486.74,0.74,106.1
293,488.45,0.71,100.3
294,490.09,0.73,105.6
295,491.75,0.73,102.9
296,493.42,0.70,100.0
297,495.07,0.76,105.5
298,496.73,0.74,105.1
299,498.41,0.73,104.7
300,500.06,0.72,99.8
301,501.72,0.72,103.4
302,503.39,0.71,100.3
303,505.11,0.71,100.3
304,506.77,0.68,97.8
305,508.43,0.72,103.4
306,510.11,0.71,100.3
307,511.77,0.74,107.0
308,513.43,0.71,98.4
309,515.08,0.76,107.2
310,516.76,0.73,101.1
311,518.41,0.71,100.3
312,520.06,0.73,102.0
313,521.78,0.74,102.3
314,523.43,0.67,100.1
315,525.10,0.73,102.0
316,526.77,0.73,102.9
317,528.42,0.72,102.5
318,530.06,0.71,98.4
319,531.78,0.77,105.9
320,533.43,0.71,99.4
321,535.05,0.76,105.6
322,536.78,0.72,104.4
323,538.44,0.72,100.7
324,540.05,0.68,96.9
325,541.71,0.74,105.1
326,543.43,0.70,100.9
327,545.10,0.71,101.2
328,546.77,0.70,98.1
329,548.44,0.72,103.4
330,550.09,0.72,102.5
331,551.75,0.71,101.2
332,553.40,0.72,102.6
333,555.04,0.73,103.8
334,556.77,0.76,106.4
335,558.44,0.73,102.9
336,560.10,0.72,102.5
