Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,-99115,-1209.90,0.00,-0.8,0
1,1.11,-99125,-1210.01,0.01,-0.8,0
2,2.10,-99161,-1210.25,0.22,-0.7,0
3,3.09,-99194,-1210.49,0.37,-0.4,0
4,4.07,-99210,-1210.74,0.32,-0.0,0
5,5.05,-99217,-1210.98,0.16,0.2,0
6,6.04,-99226,-1211.23,0.02,0.3,0
7,7.11,-99235,-1211.50,-0.13,0.2,0
8,8.09,-99241,-1211.74,-0.31,-0.0,0
9,9.07,-99256,-1211.99,-0.37,-0.4,0
10,10.05,-99261,-1212.23,-0.55,-0.9,0
11,11.04,-99272,-1212.48,-0.66,-1.5,0
12,12.10,-99285,-1212.75,-0.77,-2.3,0
13,13.06,-99301,-1212.99,-0.82,-3.0,0
14,14.04,-99321,-1213.23,-0.82,-3.8,0
15,15.11,-99353,-1213.50,-0.70,-4.7,0
16,16.09,-99372,-1213.74,-0.71,-5.3,0
17,17.08,-99399,-1213.99,-0.62,-6.0,0
18,18.06,-99428,-1214.24,-0.51,-6.6,0
19,19.06,-99455,-1214.49,-0.44,-7.0,0
20,20.11,-99483,-1214.75,-0.35,-7.5,0
21,21.11,-99508,-1215.00,-0.31,-7.8,0
22,22.10,-99533,-1215.25,-0.24,-8.0,0
23,23.09,-99552,-1215.49,-0.26,-8.3,0
24,24.07,-99573,-1215.74,-0.24,-8.5,0
25,25.06,-99592,-1215.99,-0.27,-8.8,0
26,26.04,-99614,-1216.23,-0.24,-9.0,0
27,27.11,-99633,-1216.50,-0.28,-9.3,0
28,28.10,-99654,-1216.75,-0.27,-9.6,0
29,29.09,-99671,-1216.99,-0.31,-9.9,0
30,30.07,-99697,-1217.24,-0.23,-10.1,0
31,31.06,-99711,-1217.49,-0.32,-10.5,0
32,32.04,-99730,-1217.73,-0.33,-10.7,0
33,33.12,-99757,-1218.00,-0.27,-11.1,0
34,34.10,-99772,-1218.25,-0.33,-11.4,0
35,35.10,-99795,-1218.50,-0.29,-11.6,0
36,36.09,-99821,-1218.74,-0.23,-11.9,0
37,37.09,-99842,-1218.99,-0.22,-12.2,0
38,38.08,-99864,-1219.24,-0.20,-12.4,0
39,39.07,-99881,-1219.49,-0.23,-12.6,0
40,40.06,-99901,-1219.74,-0.24,-12.8,0
41,41.11,-99924,-1220.00,-0.22,-13.1,0
42,42.10,-99941,-1220.25,-0.27,-13.3,0
43,43.09,-99964,-1220.49,-0.23,-13.5,0
44,44.06,-99985,-1220.74,-0.22,-13.8,0
45,45.04,-100008,-1220.98,-0.18,-14.0,0
46,46.11,-100030,-1221.25,-0.18,-14.1,0
47,47.10,-100048,-1221.50,-0.21,-14.3,0
48,48.08,-100071,-1221.74,-0.17,-14.5,0
49,49.07,-100094,-1221.99,-0.13,-14.6,0
50,50.05,-100115,-1222.23,-0.12,-14.7,0
51,51.05,-100134,-1222.48,-0.15,-14.9,0
52,52.10,-100155,-1222.75,-0.15,-15.0,0
53,53.09,-100180,-1222.99,-0.10,-15.1,0
54,54.06,-100195,-1223.24,-0.16,-15.3,0
55,55.04,-100214,-1223.48,-0.17,-15.4,0
56,56.09,-100236,-1223.74,-0.16,-15.6,0
57,57.07,-100253,-1223.99,-0.20,-15.7,0
