Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,7368,89.94,0.00,6.1,0
1,1.07,7366,89.91,-0.01,6.1,0
2,2.09,7351,89.84,0.10,6.2,0
3,3.10,7344,89.76,0.11,6.2,0
4,4.11,7344,89.69,0.04,6.3,0
5,5.04,7338,89.57,0.00,6.3,0
6,6.06,7319,89.37,0.02,6.3,0
7,7.07,7303,89.18,0.02,6.4,0
8,8.09,7292,88.97,-0.04,6.4,0
9,9.13,7280,88.74,-0.12,6.2,0
10,10.07,7264,88.51,-0.17,6.1,0
11,11.09,7254,88.25,-0.29,5.8,0
12,12.10,7239,88.00,-0.37,5.5,0
13,13.09,7223,87.75,-0.43,5.1,0
14,14.10,7208,87.50,-0.49,4.7,0
15,15.11,7191,87.25,-0.54,4.1,0
16,16.11,7172,86.99,-0.55,3.6,0
17,17.06,7155,86.76,-0.59,3.0,0
18,18.08,7135,86.50,-0.60,2.4,0
19,19.12,7111,86.24,-0.56,1.8,0
20,20.05,7091,86.01,-0.55,1.3,0
21,21.09,7067,85.75,-0.51,0.8,0
22,22.11,7040,85.50,-0.44,0.3,0
23,23.12,7015,85.24,-0.39,-0.1,0
24,24.12,6992,84.99,-0.35,-0.5,0
25,25.07,6967,84.75,-0.29,-0.8,0
26,26.10,6946,84.50,-0.29,-1.1,0
27,27.05,6927,84.26,-0.29,-1.3,0
28,28.07,6903,84.01,-0.26,-1.6,0
29,29.09,6885,83.75,-0.29,-1.9,0
30,30.10,6862,83.50,-0.27,-2.2,0
31,31.11,6844,83.25,-0.31,-2.5,0
32,32.05,6825,83.01,-0.31,-2.8,0
33,33.09,6802,82.75,-0.28,-3.1,0
34,34.11,6779,82.50,-0.26,-3.3,0
35,35.12,6758,82.24,-0.26,-3.6,0
36,36.05,6742,82.01,-0.29,-3.9,0
37,37.09,6717,81.75,-0.24,-4.1,0
38,38.11,6693,81.49,-0.21,-4.4,0
39,39.12,6671,81.24,-0.20,-4.6,0
40,40.05,6655,81.01,-0.23,-4.8,0
41,41.08,6631,80.75,-0.20,-5.0,0
42,42.11,6612,80.50,-0.22,-5.2,0
43,43.06,6593,80.26,-0.22,-5.4,0
44,44.06,6576,80.01,-0.27,-5.7,0
45,45.07,6553,79.75,-0.24,-5.9,0
46,46.09,6531,79.50,-0.22,-6.2,0
47,47.12,6508,79.24,-0.20,-6.4,0
48,48.06,6489,79.01,-0.21,-6.6,0
49,49.10,6464,78.75,-0.16,-6.8,0
50,50.12,6442,78.49,-0.15,-6.9,0
51,51.05,6418,78.26,-0.09,-7.0,0
52,52.07,6397,78.00,-0.09,-7.2,0
53,53.09,6377,77.75,-0.10,-7.2,0
54,54.11,6351,77.50,-0.04,-7.3,0
55,55.12,6334,77.24,-0.07,-7.4,0
56,56.05,6314,77.01,-0.06,-7.5,0
57,57.08,6298,76.75,-0.12,-7.6,0
58,58.09,6279,76.50,-0.15,-7.7,0
59,59.11,6259,76.25,-0.16,-7.9,0
60,60.11,6239,75.99,-0.17,-8.0,0
61,61.05,6219,75.76,-0.16,-8.2,0
