Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
117,117.06,-44970,-548.99,-0.04,-17.5,0
118,118.09,-44996,-549.25,0.02,-17.5,0
119,119.06,-45014,-549.49,0.00,-17.5,0
120,120.04,-45030,-549.74,-0.05,-17.6,0
121,121.10,-45052,-550.00,-0.05,-17.6,0
122,122.08,-45071,-550.24,-0.06,-17.7,0
123,123.06,-45092,-550.49,-0.05,-17.7,0
124,124.11,-45112,-550.75,-0.07,-17.8,0
125,125.09,-45131,-551.00,-0.09,-17.9,0
126,126.06,-45151,-551.24,-0.09,-17.9,0
127,127.05,-45173,-551.49,-0.06,-18.0,0
128,128.10,-45196,-551.75,-0.04,-18.0,0
129,129.09,-45215,-552.00,-0.06,-18.1,0
130,130.07,-45237,-552.24,-0.04,-18.1,0
131,131.05,-45261,-552.49,0.01,-18.1,0
132,132.11,-45284,-552.75,0.02,-18.1,0
133,133.09,-45299,-553.00,-0.04,-18.1,0
134,134.07,-45325,-553.24,0.04,-18.1,0
135,135.05,-45341,-553.49,-0.01,-18.1,0
136,136.10,-45362,-553.75,-0.01,-18.1,0
137,137.07,-45380,-553.99,-0.04,-18.1,0
138,138.06,-45400,-554.24,-0.04,-18.2,0
139,139.12,-45421,-554.50,-0.05,-18.2,0
140,140.08,-45441,-554.75,-0.05,-18.2,0
141,141.04,-45460,-554.99,-0.05,-18.3,0
142,142.09,-45480,-555.25,-0.07,-18.3,0
143,143.07,-45502,-555.49,-0.05,-18.4,0
144,144.05,-45521,-555.74,-0.06,-18.4,0
145,145.11,-45546,-556.00,-0.02,-18.5,0
146,146.09,-45568,-556.25,0.00,-18.5,0
147,147.07,-45589,-556.49,0.01,-18.5,0
148,148.05,-45611,-556.74,0.04,-18.4,0
149,149.09,-45633,-557.00,0.05,-18.4,0
150,150.07,-45651,-557.24,0.02,-18.3,0
151,151.04,-45670,-557.49,0.01,-18.3,0
152,152.10,-45691,-557.75,0.00,-18.3,0
153,153.08,-45710,-558.00,-0.01,-18.3,0
154,154.06,-45725,-558.24,-0.07,-18.4,0
155,155.11,-45751,-558.50,-0.02,-18.4,0
156,156.09,-45771,-558.75,-0.02,-18.4,0
157,157.08,-45788,-558.99,-0.06,-18.5,0
158,158.05,-45810,-559.24,-0.04,-18.5,0
159,159.11,-45832,-559.50,-0.04,-18.5,0
160,160.08,-45853,-559.75,-0.01,-18.6,0
