Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,36868,450.07,0.02,2.5,0
1,1.08,36864,450.04,0.04,2.5,0
2,2.10,36855,449.97,0.07,2.5,0
3,3.12,36844,449.89,0.13,2.6,0
4,4.06,36841,449.82,0.10,2.7,0
5,5.07,36834,449.69,0.06,2.8,0
6,6.07,36814,449.50,0.11,2.9,0
7,7.10,36798,449.29,0.10,3.0,0
8,8.10,36787,449.10,0.04,3.0,0
9,9.05,36774,448.88,-0.02,3.0,0
10,10.06,36757,448.63,-0.06,3.0,0
11,11.07,36736,448.38,-0.06,2.9,0
12,12.07,36726,448.13,-0.18,2.8,0
13,13.10,36709,447.87,-0.23,2.6,0
14,14.11,36690,447.62,-0.26,2.4,0
15,15.12,36673,447.36,-0.31,2.0,0
16,16.07,36657,447.13,-0.34,1.7,0
17,17.11,36633,446.87,-0.31,1.4,0
18,18.05,36618,446.63,-0.37,1.0,0
19,19.07,36597,446.38,-0.37,0.7,0
20,20.08,36575,446.13,-0.34,0.3,0
21,21.10,36556,445.87,-0.37,-0.0,0
22,22.11,36534,445.62,-0.35,-0.4,0
23,23.05,36512,445.38,-0.32,-0.7,0
24,24.06,36490,445.13,-0.31,-1.0,0
25,25.09,36466,444.87,-0.27,-1.3,0
26,26.11,36443,444.62,-0.24,-1.5,0
27,27.06,36423,444.38,-0.23,-1.8,0
28,28.07,36401,444.13,-0.22,-2.0,0
29,29.09,36378,443.87,-0.20,-2.2,0
30,30.12,36356,443.62,-0.18,-2.4,0
31,31.06,36338,443.38,-0.20,-2.6,0
32,32.07,36315,443.13,-0.17,-2.7,0
33,33.10,36293,442.87,-0.16,-2.9,0
34,34.12,36271,442.61,-0.15,-3.0,0
35,35.06,36253,442.38,-0.16,-3.2,0
36,36.06,36233,442.13,-0.17,-3.4,0
37,37.08,36212,441.88,-0.17,-3.5,0
38,38.10,36194,441.62,-0.20,-3.7,0
39,39.05,36171,441.38,-0.16,-3.9,0
40,40.06,36148,441.13,-0.13,-4.0,0
41,41.10,36130,440.87,-0.17,-4.2,0
