Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,-26181,-319.58,0.01,11.7,0
1,1.11,-26188,-319.69,-0.01,11.7,0
2,2.10,-26229,-319.93,0.24,11.8,0
3,3.09,-26256,-320.17,0.33,12.2,0
4,4.07,-26278,-320.42,0.35,12.5,0
5,5.06,-26289,-320.67,0.24,12.8,0
6,6.04,-26297,-320.91,0.10,13.0,0
7,7.11,-26309,-321.18,-0.02,13.0,0
8,8.09,-26320,-321.43,-0.13,12.9,0
9,9.08,-26325,-321.67,-0.32,12.7,0
10,10.06,-26335,-321.92,-0.44,12.3,0
11,11.05,-26346,-322.17,-0.56,11.8,0
12,12.11,-26358,-322.43,-0.67,11.1,0
13,13.10,-26376,-322.68,-0.71,10.5,0
14,14.09,-26395,-322.93,-0.72,9.8,0
15,15.07,-26415,-323.17,-0.72,9.0,0
16,16.11,-26442,-323.43,-0.66,8.3,0
17,17.11,-26465,-323.68,-0.62,7.7,0
18,18.10,-26491,-323.93,-0.55,7.1,0
19,19.07,-26519,-324.17,-0.45,6.6,0
20,20.05,-26544,-324.42,-0.39,6.2,0
21,21.11,-26574,-324.68,-0.29,5.9,0
22,22.11,-26596,-324.93,-0.27,5.6,0
23,23.09,-26617,-325.17,-0.26,5.4,0
24,24.05,-26641,-325.42,-0.21,5.1,0
25,25.11,-26664,-325.68,-0.20,4.9,0
26,26.08,-26682,-325.92,-0.22,4.7,0
27,27.06,-26701,-326.17,-0.23,4.5,0
28,28.04,-26721,-326.41,-0.23,4.3,0
29,29.04,-26743,-326.66,-0.21,4.1,0
30,30.10,-26762,-326.93,-0.24,3.9,0
31,31.09,-26777,-327.17,-0.31,3.6,0
32,32.07,-26795,-327.42,-0.33,3.3,0
33,33.06,-26815,-327.67,-0.34,2.9,0
34,34.04,-26837,-327.91,-0.32,2.6,0
35,35.10,-26858,-328.18,-0.32,2.3,0
36,36.08,-26882,-328.42,-0.27,2.0,0
37,37.08,-26904,-328.67,-0.26,1.8,0
38,38.04,-26927,-328.91,-0.22,1.5,0
39,39.11,-26949,-329.18,-0.21,1.3,0
40,40.10,-26969,-329.43,-0.22,1.1,0
41,41.08,-26993,-329.67,-0.17,0.9,0
42,42.07,-27011,-329.92,-0.20,0.8,0
43,43.04,-27036,-330.16,-0.13,0.6,0
44,44.11,-27055,-330.43,-0.17,0.5,0
45,45.09,-27078,-330.68,-0.13,0.3,0
46,46.07,-27094,-330.92,-0.18,0.1,0
47,47.05,-27114,-331.17,-0.18,-0.1,0
48,48.12,-27137,-331.43,-0.17,-0.3,0
49,49.11,-27157,-331.68,-0.17,-0.4,0
50,50.09,-27176,-331.93,-0.18,-0.6,0
51,51.07,-27197,-332.17,-0.18,-0.8,0
52,52.06,-27221,-332.42,-0.13,-0.9,0
53,53.11,-27242,-332.68,-0.13,-1.1,0
54,54.09,-27261,-332.92,-0.15,-1.2,0
55,55.07,-27284,-333.17,-0.11,-1.3,0
56,56.05,-27305,-333.41,-0.10,-1.4,0
57,57.10,-27328,-333.68,-0.09,-1.6,0
58,58.07,-27350,-333.92,-0.06,-1.7,0
59,59.05,-27366,-334.17,-0.11,-1.8,0
60,60.10,-27391,-334.43,-0.06,-1.9,0
61,61.08,-27405,-334.67,-0.13,-2.0,0
62,62.05,-27425,-334.91,-0.13,-2.1,0
63,63.11,-27445,-335.18,-0.16,-2.3,0
64,64.09,-27467,-335.43,-0.13,-2.4,0
65,65.08,-27487,-335.67,-0.13,-2.5,0
66,66.06,-27511,-335.92,-0.09,-2.6,0
67,67.05,-27532,-336.17,-0.09,-2.7,0
68,68.10,-27555,-336.43,-0.06,-2.8,0
69,69.09,-27575,-336.67,-0.06,-2.9,0
70,70.07,-27594,-336.92,-0.07,-3.0,0
71,71.04,-27615,-337.16,-0.06,-3.0,0
72,72.09,-27638,-337.42,-0.05,-3.1,0
73,73.08,-27657,-337.67,-0.06,-3.1,0
74,74.05,-27678,-337.92,-0.05,-3.1,0
75,75.11,-27699,-338.18,-0.06,-3.2,0
76,76.09,-27719,-338.43,-0.06,-3.2,0
77,77.07,-27737,-338.67,-0.09,-3.3,0
78,78.05,-27757,-338.92,-0.09,-3.4,0
79,79.11,-27775,-339.18,-0.13,-3.5,0
80,80.10,-27794,-339.43,-0.15,-3.6,0
81,81.07,-27818,-339.67,-0.10,-3.7,0
82,82.06,-27839,-339.92,-0.09,-3.8,0
83,83.11,-27862,-340.18,-0.07,-3.9,0
84,84.10,-27882,-340.43,-0.07,-3.9,0
85,85.07,-27906,-340.67,-0.02,-4.0,0
86,86.04,-27924,-340.91,-0.05,-4.0,0
87,87.11,-27945,-341.18,-0.06,-4.1,0
88,88.08,-27967,-341.42,-0.02,-4.2,0
89,89.05,-27986,-341.67,-0.04,-4.2,0
90,90.10,-28010,-341.93,-0.01,-4.2,0
91,91.08,-28030,-342.17,-0.01,-4.2,0
92,92.05,-28047,-342.42,-0.05,-4.2,0
93,93.11,-28068,-342.68,-0.05,-4.3,0
94,94.08,-28083,-342.92,-0.11,-4.4,0
95,95.06,-28105,-343.17,-0.09,-4.5,0
96,96.11,-28125,-343.43,-0.11,-4.6,0
97,97.08,-28147,-343.67,-0.09,-4.7,0
98,98.06,-28169,-343.92,-0.06,-4.7,0
99,99.04,-28194,-344.16,0.00,-4.8,0
100,100.10,-28211,-344.43,-0.06,-4.8,0
101,101.07,-28232,-344.67,-0.04,-4.9,0
102,102.05,-28253,-344.92,-0.04,-4.9,0
103,103.12,-28276,-345.18,-0.01,-4.9,0
104,104.09,-28297,-345.43,0.00,-5.0,0
105,105.07,-28317,-345.67,0.00,-5.0,0
106,106.11,-28341,-345.93,0.02,-5.0,0
107,107.09,-28361,-346.17,0.02,-5.0,0
108,108.07,-28378,-346.42,-0.01,-5.0,0
109,109.04,-28396,-346.66,-0.04,-5.0,0
110,110.10,-28418,-346.93,-0.02,-5.1,0
111,111.09,-28436,-347.17,-0.06,-5.2,0
112,112.06,-28458,-347.42,-0.04,-5.2,0
113,113.04,-28473,-347.66,-0.10,-5.3,0
114,114.10,-28494,-347.93,-0.10,-5.4,0
115,115.07,-28518,-348.17,-0.05,-5.5,0
116,116.05,-28539,-348.42,-0.04,-5.5,0
117,117.11,-28562,-348.68,-0.02,-5.5,0
118,118.09,-28583,-348.93,-0.01,-5.6,0
119,119.08,-28601,-349.17,-0.04,-5.6,0
120,120.05,-28626,-349.42,0.02,-5.6,0
121,121.11,-28646,-349.68,0.00,-5.6,0
122,122.09,-28669,-349.93,0.04,-5.6,0
123,123.07,-28687,-350.17,0.01,-5.6,0
124,124.04,-28706,-350.41,0.00,-5.6,0
125,125.10,-28725,-350.68,-0.04,-5.6,0
126,126.08,-28745,-350.92,-0.04,-5.6,0
127,127.06,-28763,-351.17,-0.06,-5.7,0
128,128.04,-28783,-351.41,-0.06,-5.8,0
129,129.09,-28804,-351.68,-0.06,-5.8,0
130,130.07,-28826,-351.92,-0.04,-5.9,0
131,131.06,-28845,-352.17,-0.06,-5.9,0
132,132.11,-28868,-352.43,-0.04,-6.0,0
